nameseq,k1,k2,k3,k4,k5,label
P1,1.7170407814747584,3.170950594454669,3.932138039759377,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,1.9347154954246262,3.3086949695628416,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,1.956066972363038,3.346439344671015,3.9321380397593764,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,1.7170407814747584,3.041446071165522,3.5766176449086675,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,1.91337187939924,3.403701696057348,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,1.832859996023787,3.3086949695628416,3.932138039759377,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,1.903523970088741,3.446439344671015,3.932138039759377,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,1.8047604500341237,3.2841837197791888,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,1.9699000226227195,3.5841837197791886,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,1.956066972363038,3.3841837197791884,4.0374011976541135,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,1.6411537317874583,3.0086949695628418,3.892407118592878,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,1.8047604500341237,3.141446071165521,3.932138039759377,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,1.903523970088741,3.521928094887362,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,1.903523970088741,3.446439344671016,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,1.8909209935891977,3.1841837197791887,3.8268748818646396,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,1.6909338059596861,3.146439344671015,3.8268748818646396,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,1.8726693569100332,3.384183719779189,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,1.9814035902506322,3.5841837197791886,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,1.9814035902506322,3.6841837197791887,4.247927513443588,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,1.9814035902506322,3.4219280948873623,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,1.8841729245379457,3.4464393446710155,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,1.956066972363038,3.170950594454669,3.5766176449086675,3.836591668108979,3.969815782426811,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,1.7502248772852353,3.0841837197791886,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,1.9699000226227197,3.446439344671015,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,1.9387084972868345,3.446439344671015,4.0374011976541135,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,1.8909209935891977,3.484183719779189,4.0374011976541135,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,1.873562518512994,3.4086949695628417,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,1.83748482971194,3.221928094887362,3.932138039759377,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,1.7814164026211203,3.2464393446710154,3.9976702764876153,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,1.7723388509380997,3.1464393446710153,4.0374011976541135,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,1.8628214475995342,3.408694969562842,3.7871439606981414,3.9477027792200903,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,1.91337187939924,3.2709505944546686,3.7871439606981414,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,1.7256507561120937,2.921928094887362,3.6818808028034042,3.9477027792200903,3.969815782426811,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,1.8190269457641057,3.384183719779189,3.932138039759377,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,1.9387084972868343,3.4841837197791885,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,1.6644977792004616,3.0086949695628418,3.6818808028034042,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,1.9814035902506322,3.4841837197791885,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,1.7230913368258904,2.821928094887362,3.5316306463679656,3.794653473544342,3.969815782426811,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,1.8190269457641057,3.1464393446710153,4.0374011976541135,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,1.7423773993623528,3.3086949695628416,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,1.7170407814747584,3.208694969562843,3.787143960698141,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,1.862821447599534,3.4841837197791885,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,1.872669356910033,3.2841837197791883,3.932138039759377,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
