nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
P1,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,6,6,0.0,6.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,0,0,0,0,0,0,0,0,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
