nameseq,A_A,A_C,A_G,A_U,C_A,C_C,C_G,C_U,G_A,G_C,G_G,G_U,U_A,U_C,U_G,U_U,label
P1,4,0,1,2,0,0,0,1,0,0,1,3,3,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,2,2,1,1,2,1,1,1,0,2,1,1,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,3,0,1,1,1,1,1,0,1,0,0,3,1,0,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0,4,0,2,0,0,0,4,1,0,0,0,4,0,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0,1,1,1,2,0,1,1,0,1,2,2,1,2,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0,1,1,0,0,2,2,1,1,1,3,1,1,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0,0,2,0,0,2,1,3,1,2,0,1,2,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0,2,0,1,0,0,1,1,2,0,0,3,1,0,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,3,0,1,1,0,1,2,1,2,2,2,0,0,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,1,1,2,0,2,1,0,2,0,1,3,1,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0,1,0,1,1,5,3,0,1,2,0,1,0,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0,2,0,0,0,1,1,3,0,0,0,2,2,1,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0,0,2,1,0,0,1,2,3,1,3,1,0,3,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0,0,1,1,1,3,1,1,0,2,2,2,2,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,1,3,0,0,0,5,0,3,1,0,1,1,1,0,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,1,1,2,2,0,0,1,0,4,0,3,1,0,0,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,1,0,2,2,0,0,1,0,2,0,0,3,1,1,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,1,1,1,0,1,1,1,1,1,1,1,3,1,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,1,0,3,0,2,1,0,1,1,1,0,4,0,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,1,0,1,2,0,1,1,2,2,1,0,1,2,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,1,1,1,1,1,0,0,1,2,1,2,1,2,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0,2,0,2,3,0,1,0,0,1,3,1,0,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,3,1,1,3,2,0,0,0,2,0,0,1,1,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,2,1,2,2,1,2,0,1,2,0,2,0,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0,1,2,1,1,0,1,0,1,1,0,4,2,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,4,0,1,3,1,1,1,0,0,2,1,1,1,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,1,1,0,2,0,1,1,1,2,0,0,0,2,1,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,1,0,1,1,0,0,0,2,3,0,2,1,0,1,3,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,2,0,1,1,1,1,0,2,0,1,0,1,2,2,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0,1,0,0,0,1,1,3,1,1,2,1,0,3,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0,1,0,0,2,2,0,0,0,1,2,5,0,1,4,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0,1,0,0,0,1,2,1,0,1,2,4,2,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0,0,0,1,1,2,4,0,0,2,1,3,0,3,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,1,1,1,3,1,0,1,2,0,1,0,1,5,1,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,1,0,2,1,0,1,2,1,3,3,1,0,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0,0,3,0,0,1,0,1,1,2,5,2,1,0,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,1,2,0,1,0,1,2,3,1,1,0,0,2,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0,1,0,1,2,0,0,1,1,0,0,1,1,2,2,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0,0,1,0,0,0,3,1,2,2,1,2,0,2,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,1,1,3,2,1,0,0,0,3,0,0,1,2,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,4,2,0,0,3,1,1,2,0,0,0,1,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,2,1,2,1,0,0,1,1,3,0,1,1,1,0,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,3,2,0,1,2,3,0,1,0,0,1,1,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,1,0,0,2,0,0,0,2,2,0,2,2,1,1,4,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0,1,1,1,1,0,1,0,1,0,0,3,3,1,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,7,1,1,1,0,1,0,1,2,1,0,0,0,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,1,0,1,2,1,0,1,0,1,2,0,2,2,1,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,3,0,2,2,1,1,0,0,0,0,0,1,2,1,0,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,2,1,1,2,1,0,1,1,1,1,1,1,1,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,1,0,2,0,0,4,1,2,0,0,1,2,2,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,3,0,0,2,1,0,0,2,0,0,0,0,3,2,0,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,1,0,1,2,0,2,1,2,2,3,0,0,1,2,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,1,1,0,0,0,2,3,1,1,0,1,3,0,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,1,2,0,1,0,0,1,3,0,0,0,1,1,2,0,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,0,1,0,1,1,4,3,1,0,2,0,1,0,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,1,1,1,1,0,0,1,4,2,1,0,0,1,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,3,0,3,2,1,0,0,0,2,0,1,1,3,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0,0,0,4,0,1,0,1,1,0,0,2,2,2,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,1,1,2,1,0,0,1,1,2,1,0,1,1,0,2,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,2,1,5,1,1,0,0,0,2,0,0,3,2,0,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,1,1,1,1,2,0,0,0,1,0,1,2,0,2,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,0,1,0,0,1,2,1,3,0,2,0,1,0,2,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0,1,0,0,1,2,1,2,0,0,0,2,0,3,0,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,2,0,0,2,1,1,1,1,1,2,0,0,0,1,0,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0,0,0,2,1,1,0,2,1,1,1,0,1,3,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0,2,1,1,2,2,2,0,2,0,0,1,0,2,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0,1,1,2,2,0,0,3,0,1,1,1,2,3,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0,2,2,1,2,3,0,1,1,0,2,1,1,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,0,2,0,0,2,3,2,2,0,1,1,2,0,2,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,1,1,0,1,0,3,0,4,1,0,0,0,2,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,4,0,1,2,0,0,0,1,0,2,2,0,3,0,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,1,0,1,0,1,1,0,1,0,0,0,0,1,2,0,10,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,1,1,0,3,3,2,0,2,0,1,1,0,0,4,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,1,2,0,2,1,0,3,1,0,1,0,1,3,3,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,4,1,0,2,0,1,2,0,0,0,0,2,2,3,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0,0,1,2,0,2,1,1,2,2,1,0,1,1,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,1,0,1,1,0,0,0,1,1,0,0,3,1,1,4,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0,1,0,0,1,2,2,2,0,0,1,2,0,4,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,0,1,1,1,1,1,1,1,0,0,0,3,3,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,4,1,1,3,1,0,0,1,0,0,0,1,3,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,1,2,0,1,3,2,1,1,0,0,1,2,0,3,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,1,2,0,0,0,0,0,4,1,2,3,0,1,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0,0,2,1,1,1,1,1,1,2,3,1,1,1,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,1,3,1,1,1,1,1,1,2,0,2,1,1,0,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,0,0,2,1,1,0,0,1,2,0,1,1,0,2,1,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0,0,0,1,0,2,2,1,1,0,1,3,0,5,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
