nameseq,k1,k2,k3,k4,k5,label
P1,1.9347154954246264,3.3841837197791884,4.0374011976541135,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,1.6411537317874583,2.821928094887362,3.4316235658474326,3.5249449750847117,3.6168746059562227,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,1.8841729245379457,3.5464393446710156,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,1.956066972363038,3.421928094887362,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,1.5645041853857056,2.821928094887362,3.3263604079526954,3.614369445886757,3.8521687236032816,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,1.8190269457641057,3.2841837197791888,3.7871439606981414,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,1.7608352833101872,2.685475297227334,3.3660913291191936,3.836591668108979,3.969815782426811,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,1.7821867602485988,3.2464393446710154,3.8268748818646396,3.9477027792200903,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,1.615250265088252,2.821928094887362,3.108375700053943,3.3082708345352603,3.4045428133422924,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,1.873562518512994,3.384183719779189,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,1.6004512092982517,2.8016094970590273,3.7216117239699025,4.058813890331201,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,1.8221189251103274,3.2841837197791888,3.932138039759377,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,1.91337187939924,3.384183719779189,4.142664355548851,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,1.1182751607709762,1.9332062193464952,2.641120933813017,3.197159723424149,3.4992275471326932,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,1.7256507561120937,3.2841837197791888,4.0374011976541135,4.169925001442313,4.08746284125034,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
