nameseq,k1,k2,k3,k4,k5,label
P1,3.0,11.0,16.0,16.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,3.0,9.0,13.0,13.0,13.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,3.0,12.0,17.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,3.0,11.0,16.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,3.0,9.0,12.0,13.0,14.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,3.0,10.0,14.0,16.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,3.0,7.0,11.0,14.0,15.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,3.0,9.0,14.0,15.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,3.0,9.0,11.0,12.0,12.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,3.0,11.0,17.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,3.0,8.0,14.0,16.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,3.0,10.0,15.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,3.0,11.0,17.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,3.0,6.0,9.0,11.0,12.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,3.0,10.0,16.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,3.0,12.0,15.0,15.0,15.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,2.0,5.0,7.0,8.0,9.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,3.0,9.0,14.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,3.0,13.0,17.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,3.0,9.0,15.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,3.0,10.0,15.0,17.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
