nameseq,fickett_score-ORF,fickett_score-full-sequence,label
P1,0.8341,0.38407,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.8633000000000001,0.34223000000000003,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.7227,0.2638,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.82,0.36712,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.7966,0.34342,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.9076,0.35150000000000003,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.4032,0.24775,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.6163,0.32545999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.7291,0.34964,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.7315999999999999,0.38431000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0.6985,0.24863000000000002,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0.46620000000000006,0.24995,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,1.016,0.32167,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0.40990000000000004,0.21719,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,0.6776,0.36358999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0.7033,0.3552,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0.4683,0.24899,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0.712,0.32575,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,0.7740999999999999,0.35416000000000003,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,0.4114,0.24785000000000001,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0.9704,0.32623,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0.6402,0.26627,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0.5549000000000001,0.25739,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0.5278,0.24151,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0.5641,0.22174,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,0.5189,0.23978,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0.8783,0.34072,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0.705,0.25378,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,0.4114,0.24785000000000001,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0.7383,0.36106000000000005,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0.4615,0.23011,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0.5685,0.25925000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0.6641,0.30944,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0.9644,0.30874999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0.8041999999999999,0.36434,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0.5362,0.24475000000000002,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0.7484999999999999,0.36466,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0.5685,0.25925000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0.6608999999999999,0.36946,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0.5703,0.28237,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,0.6224999999999999,0.25354,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,0.5988,0.27086000000000005,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,0.4774,0.29206000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,0.6311,0.26125000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0.6248999999999999,0.34597,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0.8317,0.34126999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,0.6388,0.23638,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,0.5142,0.25319,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0.6585,0.35477000000000003,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,0.5667,0.3711,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,0.8482,0.35712999999999995,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0.7395999999999999,0.34802,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0.43289999999999995,0.26287,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P54,0.8497,0.38224,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P55,0.3516,0.23483,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P56,0.5949,0.24974,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P57,0.7233,0.29972,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P58,0.5293,0.26661999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P59,0.6475,0.34218000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P60,0.7550000000000001,0.29614,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P61,0.9963000000000001,0.35894,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P62,0.5838,0.26651,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P63,0.5799,0.29182,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P64,0.46620000000000006,0.24995,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P65,0.8019999999999999,0.32615,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P66,0.9196,0.33713,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P67,0.9876,0.38839,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P68,0.7667,0.30106999999999995,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P69,1.0087000000000002,0.37438,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P70,0.8303,0.33748,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P71,0.4878,0.23156,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P72,0.5641,0.22174,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P73,0.6885,0.36769,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P74,0.6631,0.2707,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P75,0.7348,0.35302,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P76,0.5102,0.26335,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P77,0.9420999999999999,0.40093,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P78,0.9992000000000001,0.36275,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P79,0.6955,0.36893,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P80,0.7551,0.34038999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P81,0.6997000000000001,0.21811999999999998,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P82,0.8669,0.38254,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P83,0.5510999999999999,0.35176,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P84,0.5979,0.28346000000000005,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P85,0.6015,0.25814,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P86,0.9556,0.35474,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P87,0.5308999999999999,0.30024,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P88,0.9427,0.34385,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P89,0.7396,0.32987,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P90,0.4869,0.28088,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P91,0.7337999999999999,0.34597,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P92,0.3516,0.23483,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
