nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,pseknc-16,label
P1,0.02,0.0,0.0,0.061,0.02,0.02,0.02,0.041,0.0,0.0,0.02,0.041,0.041,0.082,0.02,0.02,0.589,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.021,0.021,0.0,0.042,0.0,0.0,0.021,0.021,0.021,0.0,0.021,0.0,0.042,0.042,0.0,0.168,0.578,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.0,0.018,0.018,0.0,0.018,0.018,0.054,0.018,0.0,0.054,0.036,0.036,0.018,0.018,0.018,0.036,0.638,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.0,0.0,0.018,0.036,0.0,0.072,0.036,0.018,0.018,0.036,0.0,0.018,0.036,0.018,0.018,0.036,0.639,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.049,0.024,0.0,0.049,0.024,0.024,0.0,0.024,0.0,0.0,0.0,0.024,0.049,0.024,0.0,0.199,0.501,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.018,0.055,0.0,0.0,0.036,0.036,0.0,0.073,0.0,0.018,0.0,0.018,0.018,0.036,0.036,0.018,0.631,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.0,0.0,0.021,0.0,0.0,0.0,0.108,0.064,0.0,0.108,0.0,0.021,0.021,0.064,0.021,0.0,0.567,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.036,0.036,0.0,0.055,0.036,0.055,0.018,0.018,0.0,0.0,0.0,0.0,0.036,0.036,0.0,0.036,0.632,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.0,0.049,0.0,0.024,0.049,0.049,0.0,0.024,0.0,0.0,0.0,0.024,0.024,0.024,0.024,0.196,0.509,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.016,0.048,0.0,0.0,0.032,0.064,0.016,0.032,0.032,0.016,0.016,0.0,0.0,0.016,0.016,0.016,0.679,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
