nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,label
P1,0.03,0.0,0.0,0.15,0.05,0.05,0.05,0.1,0.0,0.0,0.05,0.1,0.1,0.2,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.024,0.05,0.0,0.1,0.0,0.0,0.05,0.05,0.05,0.0,0.05,0.0,0.1,0.1,0.0,0.4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.0,0.05,0.05,0.0,0.05,0.05,0.15,0.05,0.0,0.15,0.1,0.1,0.05,0.05,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.0,0.0,0.05,0.1,0.0,0.2,0.1,0.05,0.05,0.1,0.0,0.05,0.1,0.05,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.054,0.05,0.0,0.1,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.05,0.1,0.05,0.0,0.4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.023,0.15,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.05,0.0,0.05,0.05,0.1,0.1,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.0,0.0,0.05,0.0,0.0,0.0,0.25,0.15,0.0,0.25,0.0,0.05,0.05,0.15,0.05,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.043,0.1,0.0,0.15,0.1,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.0,0.1,0.0,0.05,0.1,0.1,0.0,0.05,0.0,0.0,0.0,0.05,0.05,0.05,0.05,0.4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.022,0.15,0.0,0.0,0.1,0.2,0.05,0.1,0.1,0.05,0.05,0.0,0.0,0.05,0.05,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0.032,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.1,0.15,0.0,0.1,0.1,0.35,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0.023,0.05,0.0,0.1,0.1,0.2,0.05,0.1,0.0,0.1,0.05,0.0,0.0,0.15,0.05,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0.03,0.0,0.2,0.1,0.05,0.0,0.05,0.05,0.1,0.1,0.05,0.05,0.15,0.05,0.0,0.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.05,0.0,0.0,0.05,0.05,0.05,0.6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,0.028,0.1,0.0,0.05,0.1,0.1,0.0,0.2,0.0,0.05,0.0,0.0,0.05,0.1,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0.028,0.05,0.05,0.15,0.1,0.0,0.0,0.05,0.05,0.1,0.05,0.05,0.05,0.0,0.2,0.05,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.15,0.0,0.0,0.0,0.05,0.0,0.1,0.05,0.55,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0.041,0.05,0.05,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.1,0.05,0.1,0.25,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,0.022,0.0,0.05,0.05,0.05,0.1,0.05,0.05,0.0,0.05,0.15,0.1,0.05,0.1,0.05,0.1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,0.051,0.05,0.0,0.0,0.0,0.2,0.05,0.15,0.0,0.1,0.0,0.0,0.05,0.1,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0.052,0.05,0.15,0.05,0.1,0.0,0.0,0.0,0.05,0.0,0.0,0.15,0.05,0.1,0.05,0.15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0.0,0.0,0.0,0.0,0.0,0.2,0.05,0.15,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
