nameseq,A_A,A_C,A_G,A_U,C_A,C_C,C_G,C_U,G_A,G_C,G_G,G_U,U_A,U_C,U_G,U_U,label
P1,0,0,1,3,1,0,1,1,2,0,1,1,2,1,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0,1,1,0,0,0,1,0,1,0,0,2,1,1,2,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,1,4,0,0,2,2,1,1,2,0,0,0,1,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,2,2,0,2,2,0,0,1,1,0,1,1,2,2,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0,0,2,1,0,0,1,0,1,0,1,3,2,0,1,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,1,2,2,2,1,0,1,0,1,0,0,3,4,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,5,0,1,1,0,4,0,1,1,0,0,0,1,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,3,0,2,1,0,0,0,0,2,0,1,3,2,0,3,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,2,0,2,1,0,0,1,0,0,0,0,2,1,1,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,3,1,2,2,2,0,2,0,3,0,0,0,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0,0,1,1,1,1,0,3,0,0,0,2,1,3,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,4,1,3,0,1,0,0,1,2,0,0,2,2,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0,1,1,0,0,1,4,0,2,2,2,1,0,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0,0,0,2,0,0,0,0,0,0,0,1,2,1,1,11,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,2,1,1,3,1,0,0,0,3,0,0,1,1,0,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0,1,0,2,1,1,3,0,0,1,0,4,1,2,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0,1,0,4,0,0,0,1,0,0,0,0,4,0,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0,0,1,1,0,1,1,1,1,2,0,2,1,0,2,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,3,1,1,0,0,1,2,3,0,0,0,1,2,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,3,0,1,2,0,0,0,2,2,0,1,0,3,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0,1,1,0,0,0,1,3,1,2,2,2,1,1,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,2,2,0,4,2,0,0,0,0,0,0,0,4,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0,1,0,3,0,0,1,1,3,0,0,2,1,0,4,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0,1,0,0,0,1,2,2,0,3,5,1,0,1,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0,0,0,1,0,3,1,4,0,1,0,0,2,4,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,1,1,1,1,0,1,0,2,0,1,0,2,2,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0,1,0,0,1,5,3,0,0,2,0,3,0,2,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0,1,3,1,1,1,3,1,3,2,0,0,0,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,4,1,1,3,0,0,0,0,2,0,0,0,3,0,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,4,1,2,0,0,1,1,0,1,0,1,2,1,1,0,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,0,1,0,0,1,2,0,4,1,0,0,1,0,3,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,1,0,0,3,1,1,0,0,0,0,0,1,3,0,0,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0,0,0,1,0,0,0,1,0,0,0,2,1,0,2,11,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0,1,1,0,0,0,1,1,2,0,1,3,1,1,1,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,5,1,1,1,2,1,1,1,1,1,0,0,1,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,5,0,1,2,0,1,1,0,1,0,0,1,1,1,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,2,1,1,0,2,2,1,2,0,1,1,1,0,2,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0,0,0,3,1,0,1,0,0,1,0,2,4,0,2,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,2,2,0,1,0,0,0,1,2,0,3,1,2,0,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0,3,0,1,1,3,3,1,1,0,0,1,2,2,0,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,1,3,0,0,1,3,1,2,0,0,2,1,2,0,0,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
