nameseq,k1,k2,k3,k4,k5,label
P1,1.9918642483937374,3.831401845392172,4.487122805397798,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,1.9741788778835272,3.694739663055176,4.487122805397798,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,1.8886215208062715,3.4280729963885093,4.21126073643228,4.521640636343317,4.606739354015323,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,1.7567958110719157,3.306890595608518,4.28022625367366,4.66449777920046,4.680813428089397,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,1.9361970401768431,3.6695767463163933,4.513153408920675,4.807354922057602,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,1.893660301709418,3.361406329721843,4.21126073643228,4.593069207771888,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,1.959714974151055,3.656564762130954,4.513153408920675,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,1.9002919728689043,3.3199025797939585,4.306256857196538,4.66449777920046,4.680813428089397,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,1.959714974151055,3.8062389286533893,4.625053839880556,4.807354922057602,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,1.8518177841906396,3.431401845392172,4.556088322639177,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,1.9315353975883323,3.7647351787255046,4.651084443403434,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,1.896686511734913,3.4817276788697367,4.418157288156418,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,1.8495291547981068,3.469576746316393,4.444187891679296,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,1.9538824106870534,3.6477426785812734,4.487122805397797,4.735926350629031,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,1.77614773312812,3.3722539283649273,4.237291339955158,4.66449777920046,4.754887502163471,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
