nameseq,k1,k2,k3,k4,k5,label
P1,3.0,15.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,3.0,11.0,19.0,23.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,3.0,12.0,21.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,3.0,13.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,3.0,11.0,19.0,24.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,3.0,13.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,3.0,11.0,20.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,3.0,15.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,3.0,12.0,24.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,3.0,14.0,25.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,3.0,12.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,3.0,12.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,3.0,14.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,3.0,13.0,20.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,3.0,13.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,3.0,12.0,23.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,3.0,12.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,3.0,11.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,3.0,13.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,3.0,9.0,19.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,3.0,12.0,22.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,3.0,15.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,3.0,13.0,22.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,3.0,11.0,22.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,3.0,12.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,3.0,12.0,20.0,24.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,3.0,12.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,3.0,14.0,26.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,3.0,12.0,25.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,3.0,11.0,21.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,3.0,11.0,18.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,3.0,15.0,23.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,3.0,14.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,3.0,13.0,22.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,3.0,13.0,23.0,24.0,24.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,3.0,13.0,21.0,25.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,3.0,12.0,22.0,26.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,3.0,12.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,3.0,14.0,23.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,3.0,10.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,3.0,14.0,24.0,27.0,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,3.0,13.0,21.0,25.0,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
