nameseq,fickett_score-ORF,fickett_score-full-sequence,label
P1,0.9028999999999999,0.36768,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.8004,0.35704,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.7262,0.37244,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.7475,0.33993999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.7952,0.34813,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.5031,0.35257,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.5392,0.34345,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.9196,0.33789,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.9794999999999999,0.36158,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.8564,0.38066,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0.5099999999999999,0.30499,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0.8943,0.34326999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,0.9683,0.33013,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,0.8659,0.36338000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,0.7422,0.35179,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,0.39480000000000004,0.27353,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0.6076,0.22487000000000001,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0.7844,0.31994999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,0.5993999999999999,0.31556999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,0.48250000000000004,0.24955,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,0.9498,0.37627,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,0.9016,0.34548999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0.6281,0.36590999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,0.7912999999999999,0.40344,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,0.8152999999999999,0.35420999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,0.6418,0.34887999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,0.3516,0.23483,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P28,0.9136,0.36898,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P29,0.8038,0.39186999999999994,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P30,0.6392,0.34853999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P31,1.0016,0.3625,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P32,0.7904,0.337,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P33,0.6944,0.29259999999999997,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P34,0.7156,0.33543,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P35,0.5972,0.31065,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P36,0.48540000000000005,0.23762,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P37,0.9467000000000001,0.37273,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P38,0.7906,0.35749,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P39,0.7985,0.34247,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P40,0.7840999999999999,0.41074,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P41,0.6414,0.23576,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P42,0.6791999999999999,0.37458,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P43,0.7197999999999999,0.38431000000000004,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P44,0.9161,0.34123000000000003,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P45,0.6387999999999999,0.30579,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P46,0.8666,0.35607999999999995,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P47,0.7791,0.34570999999999996,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P48,0.7698999999999999,0.36789000000000005,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P49,0.7046,0.27592,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P50,0.7324,0.39223,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P51,0.7700999999999999,0.36152,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P52,0.8282,0.33764,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P53,0.4839,0.27959,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
