P1,1,2,1,2,1,0,1,2,1,2,1,2,3,4,3,2,1,0,1,0,1,0,-1,-2,-1,0,1,2,1,0,1,-1,-2,-3,-4,-3,-4,-3,-2,-1,0,-1,-2,-3,-4,-5,-6,-5,-6,-5,-4,-3,-2,-1,0,-1,0,-1,-2,-1,-2,-1,-1,-2,-1,-2,-3,-2,-1,0,-1,0,1,0,-1,-2,-1,0,-1,0,1,0,1,0,-1,-2,-3,-2,-3,-4,-5,-4,-3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,-1,0,1,2,3,2,1,2,1,0,-1,-2,-3,-2,-3,-4,-5,-6,-7,-6,-5,-4,-3,-4,-3,-2,-3,-2,-3,-2,-3,1,0,1,0,-1,0,-1,0,-1,-2,-3,-2,-3,-4,-5,-6,-7,-8,-7,-8,-7,-6,-5,-4,-3,-4,-3,-4,-3,-4,-5,-1,-2,-1,-2,-3,-4,-3,-2,-1,0,1,0,1,0,1,2,3,4,3,2,3,4,5,4,5,4,3,2,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,1,2,3,2,1,2,3,2,3,4,5,6,5,4,5,4,5,6,5,6,5,4,3,4,5,6,7,6,5,6,5,-1,-2,-3,-2,-3,-2,-3,-4,-3,-2,-1,0,-1,-2,-3,-4,-3,-4,-5,-6,-7,-6,-7,-8,-7,-6,-5,-6,-7,-8,-7,-1,-2,-3,-4,-3,-2,-3,-2,-1,0,1,2,3,4,3,4,5,4,5,4,5,4,5,4,5,6,7,8,9,8,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,-1,-2,-1,-2,-3,-4,-5,-6,-7,-8,-7,-6,-7,-8,-9,-10,-11,-12,-13,-14,-13,-12,-11,-10,-11,-10,-11,-12,-11,-12,-13,-1,0,-1,-2,-1,-2,-1,-2,-3,-4,-5,-4,-5,-6,-7,-8,-7,-8,-9,-10,-9,-8,-9,-10,-9,-10,-9,-10,-9,-10,-11,1,0,-1,0,-1,0,-1,0,1,2,1,2,3,4,5,6,5,6,7,8,9,10,9,8,7,6,5,6,7,8,9,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,1,2,1,2,1,0,1,0,1,2,3,4,5,4,3,2,1,2,3,4,3,2,1,0,-1,0,1,2,1,0,-1,-1,-2,-1,-2,-3,-4,-5,-6,-7,-8,-7,-6,-7,-8,-9,-10,-9,-8,-9,-10,-9,-8,-9,-10,-9,-10,-9,-8,-7,-8,-9,-1,-2,-3,-4,-3,-2,-3,-2,-3,-4,-3,-2,-3,-2,-1,0,-1,0,-1,-2,-3,-4,-3,-2,-3,-4,-3,-2,-3,-2,-1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,1,2,3,4,5,4,5,4,3,4,5,4,3,2,3,2,3,4,3,4,5,4,3,4,5,6,5,6,7,8,9,1,2,3,2,3,4,5,6,5,4,3,2,1,2,3,2,1,2,1,0,1,2,1,0,1,2,3,4,5,6,5,1,2,3,2,3,2,3,2,3,2,1,2,3,2,3,4,3,4,5,4,5,4,5,4,5,6,5,6,7,8,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,1,0,1,2,3,2,3,4,5,6,7,6,7,8,7,6,5,6,7,6,5,4,3,4,3,4,5,4,5,6,5,1,2,1,2,1,0,-1,-2,-3,-4,-3,-2,-1,-2,-3,-4,-3,-2,-1,-2,-3,-2,-3,-4,-5,-6,-7,-8,-7,-6,-5,1,0,-1,0,-1,0,-1,-2,-3,-4,-3,-4,-3,-4,-3,-2,-3,-2,-1,0,1,0,1,0,1,0,-1,0,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,1,2,1,2,3,4,5,4,3,2,1,2,3,4,3,2,1,2,3,4,3,2,1,0,1,2,1,0,1,0,1,-1,0,1,2,3,2,3,4,3,2,3,2,3,4,3,2,1,0,1,2,3,2,1,2,3,4,5,6,7,8,9,-1,0,-1,0,1,0,1,0,1,2,1,0,1,2,3,4,5,4,5,6,5,6,7,6,7,8,7,6,7,6,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,1,2,1,2,1,0,-1,0,1,2,1,2,3,2,3,2,1,2,1,0,1,0,-1,0,1,2,3,2,1,2,1,1,0,-1,0,1,0,-1,-2,-3,-2,-3,-2,-1,-2,-3,-4,-5,-6,-7,-6,-5,-6,-7,-8,-7,-8,-7,-6,-5,-6,-5,1,0,1,2,1,2,3,2,1,2,3,4,5,6,5,6,7,6,7,6,7,8,9,8,9,8,9,8,7,6,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,1,2,3,4,5,6,5,6,7,8,7,8,9,8,7,6,7,8,9,10,9,10,11,12,13,12,13,12,11,12,11,-1,0,1,2,3,4,3,2,3,2,3,4,3,2,1,0,1,2,1,0,1,2,3,2,3,4,5,4,5,6,7,-1,0,1,2,3,4,5,4,5,4,3,4,3,4,5,6,7,8,7,6,5,6,7,6,7,6,7,8,7,8,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,1,2,3,4,5,4,3,4,5,6,5,6,5,6,5,4,5,6,7,6,5,4,3,2,3,2,3,2,1,0,1,-1,-2,-1,0,1,2,3,2,1,0,1,0,-1,0,-1,-2,-3,-2,-3,-2,-1,0,-1,0,-1,-2,-3,-2,-3,-2,-3,-1,-2,-1,0,1,0,-1,-2,-3,-4,-5,-6,-5,-4,-3,-2,-3,-2,-3,-4,-5,-6,-5,-6,-7,-6,-7,-8,-7,-8,-9,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,1,2,1,2,1,0,-1,-2,-3,-2,-3,-4,-5,-6,-5,-6,-7,-8,-7,-8,-9,-10,-9,-8,-7,-6,-7,-8,-9,-10,-11,-1,0,1,0,-1,0,1,0,-1,0,1,2,1,0,-1,-2,-3,-2,-1,0,1,2,3,4,3,4,5,4,3,4,3,-1,0,-1,-2,-1,-2,-3,-2,-1,0,-1,-2,-1,0,-1,0,1,0,1,0,-1,-2,-1,0,-1,0,-1,0,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,1,0,-1,-2,-3,-2,-3,-2,-1,-2,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-9,-10,-11,-10,-11,-10,-11,-12,-11,-12,-13,-1,0,-1,0,-1,0,-1,-2,-1,-2,-3,-4,-3,-2,-3,-4,-5,-6,-5,-6,-5,-4,-3,-2,-3,-2,-3,-2,-3,-4,-3,-1,-2,-1,-2,-1,0,1,0,1,2,1,2,1,0,1,2,3,4,3,4,5,4,3,4,5,6,7,6,5,6,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,1,2,3,4,3,2,3,2,1,0,1,2,1,0,1,0,1,2,1,0,-1,-2,-3,-4,-3,-4,-5,-6,-5,-6,-7,-1,-2,-1,-2,-1,-2,-3,-2,-1,0,1,2,3,2,3,2,3,4,5,4,5,4,3,4,3,4,3,2,3,4,3,-1,-2,-1,-2,-3,-2,-3,-4,-5,-6,-5,-4,-5,-4,-3,-2,-1,0,-1,0,-1,0,1,0,-1,-2,-1,0,1,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,1,2,1,0,-1,-2,-1,0,1,2,1,2,1,0,-1,-2,-3,-4,-3,-4,-3,-4,-5,-4,-3,-2,-3,-4,-5,-6,-5,-1,-2,-3,-4,-5,-6,-5,-4,-3,-4,-5,-4,-5,-6,-5,-6,-7,-8,-7,-6,-5,-6,-7,-8,-7,-8,-9,-10,-11,-10,-11,-1,-2,-1,0,1,2,3,4,5,4,5,6,7,8,7,8,9,10,11,10,11,12,13,12,13,12,13,14,15,14,13,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,1,2,3,4,3,4,3,4,3,2,1,2,1,0,1,0,1,2,3,4,5,6,7,8,9,8,7,8,7,8,9,-1,-2,-1,-2,-3,-2,-1,0,1,0,1,2,1,0,-1,-2,-1,0,1,0,-1,0,1,2,3,4,5,6,5,4,5,-1,-2,-1,-2,-1,0,-1,0,-1,0,-1,0,1,2,1,2,3,4,5,4,3,4,5,6,7,6,5,6,7,6,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,-1,0,-1,0,1,2,1,2,1,2,1,2,3,2,1,0,1,2,1,2,3,2,3,2,3,4,3,2,1,0,-1,-1,0,1,0,-1,-2,-1,-2,-3,-4,-5,-6,-7,-8,-7,-8,-7,-8,-9,-10,-11,-12,-11,-12,-13,-12,-13,-14,-13,-14,-13,1,2,1,0,-1,-2,-3,-4,-3,-4,-3,-4,-5,-4,-5,-4,-3,-4,-3,-4,-5,-4,-3,-2,-3,-2,-1,0,-1,0,-1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,-1,0,1,0,1,0,1,2,1,0,-1,-2,-3,-2,-3,-4,-5,-6,-5,-4,-3,-4,-3,-2,-3,-4,-5,-6,-7,-8,-7,-1,-2,-3,-4,-3,-4,-5,-4,-5,-6,-5,-6,-5,-6,-5,-6,-7,-8,-9,-10,-11,-10,-11,-10,-9,-10,-11,-10,-9,-10,-11,1,0,-1,0,1,2,1,2,3,4,3,4,3,2,1,2,3,4,3,2,1,0,-1,0,-1,0,1,0,-1,0,-1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,-1,0,1,2,3,4,5,6,5,6,7,8,9,8,9,8,9,8,9,10,11,12,13,14,13,12,11,10,11,12,13,1,2,1,0,1,2,1,2,3,4,5,6,5,6,7,6,5,6,5,6,5,6,5,4,5,6,7,6,5,4,3,-1,0,-1,-2,-1,0,-1,0,-1,0,1,2,1,0,1,2,1,0,-1,0,-1,0,-1,-2,-3,-4,-5,-4,-5,-6,-7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,-1,0,1,2,3,4,5,4,3,2,1,2,3,4,3,2,1,2,3,2,1,0,-1,-2,-1,0,-1,-2,-3,-2,-3,1,0,1,0,1,0,-1,0,1,2,1,0,-1,-2,-3,-4,-3,-2,-1,-2,-3,-2,-1,0,1,0,1,0,1,0,1,-1,-2,-1,-2,-1,-2,-3,-4,-5,-6,-5,-6,-7,-8,-7,-6,-7,-6,-5,-4,-3,-4,-5,-6,-5,-6,-7,-6,-7,-8,-9,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,-1,-2,-1,0,-1,-2,-1,-2,-3,-2,-3,-2,-1,-2,-1,-2,-3,-2,-3,-2,-1,-2,-3,-2,-3,-4,-3,-2,-3,-2,-1,-1,0,-1,0,-1,0,-1,-2,-1,-2,-3,-4,-3,-2,-1,-2,-1,0,1,2,3,2,1,0,-1,-2,-3,-2,-1,-2,-1,1,0,-1,0,1,0,-1,0,-1,-2,-1,-2,-1,-2,-1,0,-1,0,-1,0,1,2,3,2,3,4,3,4,3,2,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,1,2,1,2,3,2,1,0,1,0,1,0,1,0,1,0,1,0,-1,0,-1,0,-1,-2,-1,0,1,2,1,0,1,1,2,1,2,3,2,1,0,1,0,1,2,1,0,1,0,1,2,1,2,3,4,3,4,3,4,3,4,5,6,7,1,2,3,4,5,6,7,8,9,10,11,10,9,10,11,12,13,12,13,14,13,14,15,14,13,14,13,14,13,12,13,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,-1,0,-1,-2,-3,-2,-1,-2,-3,-2,-3,-2,-1,-2,-1,-2,-1,0,-1,0,1,0,-1,-2,-1,-2,-3,-2,-1,0,-1,-1,0,1,0,1,2,3,4,3,2,3,4,5,4,3,2,3,2,1,0,-1,-2,-3,-4,-3,-2,-1,-2,-1,0,1,1,2,1,2,1,2,3,2,3,2,1,2,3,4,3,4,5,4,5,4,3,4,5,6,7,6,5,4,5,6,5,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,-1,0,-1,-2,-1,0,1,2,3,2,1,2,3,2,1,0,-1,0,1,2,1,0,1,2,1,2,1,0,-1,-2,-1,-1,0,-1,-2,-1,0,1,2,3,4,5,6,5,4,3,2,3,4,3,2,3,4,5,4,3,2,1,2,1,0,-1,1,2,3,4,5,6,7,8,9,8,7,8,7,8,9,10,9,10,9,8,7,6,7,6,7,6,7,6,7,8,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,-1,0,-1,0,1,2,1,0,-1,-2,-3,-2,-3,-2,-3,-4,-3,-4,-3,-4,-3,-4,-3,-4,-5,-4,-5,-6,-5,-4,-5,-1,0,-1,0,1,2,1,0,-1,-2,-3,-2,-1,-2,-1,-2,-1,0,1,2,3,4,3,2,3,4,3,4,3,4,5,1,2,3,4,5,6,7,8,9,10,11,12,11,10,9,10,11,10,11,10,11,10,9,10,9,10,11,10,9,10,9,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,1,2,3,4,5,4,5,4,5,6,5,4,3,4,5,4,5,4,3,2,3,4,5,6,7,8,7,8,9,10,9,1,2,3,4,5,4,3,4,5,6,5,6,5,4,5,4,5,6,7,8,9,10,9,10,9,8,9,10,11,12,13,1,2,3,4,5,6,5,4,5,6,7,6,7,6,7,8,9,8,7,6,7,8,7,8,7,6,5,6,7,8,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P27,-1,-2,-3,-4,-5,-6,-7,-8,-7,-6,-5,-4,-3,-4,-3,-4,-5,-4,-3,-2,-1,0,1,2,1,2,1,2,3,2,1,-1,-2,-1,-2,-3,-4,-3,-2,-1,0,1,2,1,0,1,0,-1,-2,-1,0,1,2,3,4,3,2,3,4,5,4,5,1,2,1,2,3,4,3,2,3,4,5,6,5,6,7,8,9,8,9,10,11,12,13,14,15,14,13,14,15,16,15,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
