nameseq,pseknc-0,pseknc-1,pseknc-2,pseknc-3,pseknc-4,pseknc-5,pseknc-6,pseknc-7,pseknc-8,pseknc-9,pseknc-10,pseknc-11,pseknc-12,pseknc-13,pseknc-14,pseknc-15,pseknc-16,label
P1,0.046,0.011,0.023,0.023,0.011,0.011,0.034,0.011,0.011,0.023,0.023,0.034,0.023,0.034,0.011,0.011,0.652,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.01,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.041,0.01,0.0,0.02,0.01,0.01,0.02,0.051,0.691,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.027,0.013,0.027,0.054,0.027,0.068,0.0,0.027,0.0,0.0,0.0,0.027,0.054,0.041,0.013,0.027,0.588,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.012,0.012,0.024,0.012,0.012,0.012,0.0,0.024,0.024,0.0,0.0,0.049,0.012,0.024,0.049,0.098,0.632,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.031,0.02,0.02,0.031,0.02,0.02,0.01,0.0,0.02,0.01,0.01,0.02,0.02,0.0,0.02,0.051,0.688,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.012,0.048,0.0,0.012,0.024,0.06,0.048,0.024,0.0,0.036,0.0,0.024,0.048,0.0,0.012,0.012,0.636,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.049,0.024,0.0,0.049,0.024,0.024,0.037,0.012,0.012,0.024,0.0,0.012,0.037,0.012,0.024,0.024,0.625,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.0,0.045,0.0,0.0,0.011,0.045,0.057,0.011,0.011,0.045,0.011,0.022,0.011,0.0,0.022,0.045,0.656,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.011,0.035,0.011,0.035,0.023,0.011,0.023,0.035,0.011,0.011,0.011,0.011,0.047,0.023,0.011,0.035,0.647,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.013,0.039,0.026,0.013,0.052,0.078,0.026,0.026,0.0,0.052,0.0,0.0,0.013,0.013,0.013,0.026,0.609,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,0.031,0.021,0.031,0.021,0.01,0.021,0.01,0.01,0.042,0.0,0.031,0.021,0.021,0.01,0.021,0.01,0.684,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,0.0,0.025,0.0,0.025,0.012,0.012,0.05,0.0,0.012,0.025,0.05,0.05,0.012,0.012,0.037,0.05,0.624,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
