nameseq,A_A,A_C,A_G,A_U,C_A,C_C,C_G,C_U,G_A,G_C,G_G,G_U,U_A,U_C,U_G,U_U,label
P1,2,2,2,0,3,2,1,1,0,1,3,5,1,3,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,2,2,1,1,3,1,2,0,1,1,3,2,0,2,1,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,3,0,0,6,1,0,1,0,3,2,2,1,2,0,4,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0,0,2,1,1,2,0,3,0,2,1,2,3,1,2,8,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0,1,2,2,1,0,1,3,3,3,2,2,1,2,3,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,5,1,3,2,1,1,2,1,1,2,0,3,4,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,1,0,1,4,2,0,2,0,2,1,5,2,2,2,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,2,3,1,4,4,1,0,2,2,2,0,0,2,2,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,2,1,1,4,0,0,1,2,2,2,1,2,3,1,4,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,5,2,4,2,1,0,1,1,3,2,1,1,4,0,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P11,1,3,0,1,0,3,2,3,3,2,4,1,1,1,2,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P12,1,2,2,1,2,2,0,6,0,3,0,1,2,4,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P13,1,2,2,0,3,1,0,4,0,1,0,2,1,3,1,7,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P14,1,3,0,2,3,3,1,2,1,1,1,2,2,3,1,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P15,2,0,1,4,0,0,0,2,1,0,1,3,4,3,1,6,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P16,4,2,3,3,1,2,0,2,5,0,1,0,2,1,1,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P17,0,0,2,2,1,0,1,1,1,2,5,3,1,2,3,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P18,0,0,1,2,1,2,0,3,1,2,2,3,1,3,4,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P19,4,1,5,0,2,1,2,2,3,3,3,0,0,1,1,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P20,1,1,1,2,3,3,2,1,0,2,3,3,1,3,2,0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P21,2,2,1,2,2,1,0,3,0,3,1,2,3,0,5,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P22,5,2,1,4,2,0,0,2,1,1,1,0,2,3,1,3,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P23,0,2,1,4,3,1,2,0,3,0,1,2,2,3,2,2,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P24,3,2,1,3,2,0,3,1,0,3,1,1,3,1,0,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P25,4,1,2,2,2,3,0,2,0,1,0,1,3,2,1,4,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P26,6,2,3,2,4,1,1,0,2,1,1,1,1,2,0,1,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
