,0,1,2,3,4,5,6,7,8,9
P1,5.365551184274861e-06,1.4096828321850816e-06,-3.387778531769339e-06,3.827621099259117e-06,7.730564339091309e-06,7.4525541652168846e-06,-5.481990011233688e-07,-1.439397527380335e-06,-1.65864320413148e-06,-7.867346483443415e-06
P2,-6.909168189800538e-07,6.489281357858993e-06,-1.0164270145237892e-07,5.579189519526776e-06,1.2478128538820333e-06,-1.0648938549217223e-06,-4.2429114940732574e-07,1.026407441949089e-05,-5.873894178384429e-07,3.517946464774176e-06
P3,9.863284610568224e-07,5.408437641897914e-06,3.5127476421476845e-06,8.061230989732363e-06,-1.1088260828143182e-05,-8.856920897293871e-06,1.8418390352632893e-07,-1.7189201890730914e-06,-3.716457922660582e-06,3.65967518322026e-06
P4,1.6339509574626534e-07,-7.08390380040706e-06,8.32142283753589e-06,-2.0592295997335416e-06,-3.42259542063792e-06,-4.958993416710007e-06,-1.9062097529464893e-06,1.392846051814439e-06,2.545445165731057e-06,3.1374401107083557e-06
P5,-3.2294979752736375e-06,4.509384833765881e-06,-2.941401353798623e-06,4.059990244057295e-06,-4.139364573872294e-06,1.6097958077492523e-06,-2.3758154608729165e-06,5.006508622196741e-06,-1.2336165272138367e-06,5.546072961622967e-06
P6,-3.064867865021545e-06,-2.642312030846683e-07,-5.1583656021724584e-06,8.696657013766904e-06,6.472785424568362e-07,2.774689286109348e-06,1.4481726296351185e-06,2.3624483262363194e-06,-2.219715943811316e-06,2.088708150597038e-06
P7,-4.165328857813192e-07,-6.866636841820474e-07,6.748357886028156e-06,-1.251352882745342e-06,-4.123444331264627e-06,-7.100771074221844e-07,7.217295689113123e-06,-1.0597076561619993e-06,-1.441245726078365e-05,-6.8099168687925675e-06
P8,1.3594088672148517e-06,-7.476257562977342e-06,6.110028857062662e-07,6.347887042022841e-06,1.09926582199978e-05,7.158218036101274e-06,1.9455556002788334e-06,5.2513418432380165e-06,-1.5530074668547748e-07,3.398659555541283e-06
P9,-6.499766781943859e-06,2.742206565353332e-06,-2.9340741676150658e-06,2.795524800703338e-06,-2.837051342112582e-07,5.619059487364445e-06,-3.401833019929393e-06,2.771912213763827e-06,9.895766238472085e-07,9.041025594081335e-06
P10,5.331060819407369e-06,-5.207890686493709e-07,-1.3582940022337144e-06,3.762279790451992e-07,9.554774423942885e-08,1.2192555113460794e-06,-3.0720786763637235e-06,3.672274390912181e-06,2.845830061682709e-06,1.8365019467494244e-06
P11,-2.9457580314957495e-06,3.0570673091193324e-06,2.5019344352996136e-06,1.8585062894966835e-06,4.657889810615848e-06,5.842801088915949e-06,-2.3919052133633306e-06,5.714611560451524e-07,-1.7349569460476657e-06,-1.7710953074030088e-06
P12,-5.056243434878828e-06,1.844396723239998e-06,-4.630882306738102e-06,1.7763951439294225e-06,7.052735196434777e-06,1.082515656608096e-05,-1.2623849234210207e-06,6.560531856785445e-06,-1.4019428490231892e-06,2.9608607941189664e-06
P13,5.457874261559745e-06,-7.58795731333568e-06,-1.5582831468061056e-06,-8.106191469247121e-06,-3.292087631465027e-06,-6.600513263365021e-07,-2.13462079148765e-06,-8.21426490497133e-06,1.466855817679625e-06,-1.6506010519706885e-05
P14,-6.472928705645935e-06,3.895415196483154e-06,2.554801705689739e-06,5.557450683372872e-06,1.6610481508088574e-06,1.3276394103134566e-06,-2.4602734866231864e-06,4.840039610085297e-06,6.7745106897325e-07,6.02680012382766e-06
P15,-1.4309530901338924e-06,-5.99162576914633e-06,-3.4508036450991465e-06,6.300687113770128e-06,3.943446531303347e-06,8.584791704930087e-07,2.859718446357332e-06,3.880671688023076e-06,8.301302808878613e-07,1.8511436494910176e-06
P16,-1.3038033186422692e-06,2.3060325244336007e-06,-4.7572577847037755e-06,-6.110924993299737e-06,-2.898884170141275e-06,-1.4697808803497468e-05,2.3332322416994835e-06,2.2930100888802249e-07,1.0183645756832644e-05,-2.9553866967547645e-06
P17,-1.3634408641700778e-06,-1.4717257231523627e-06,-1.6046396306421736e-06,4.159519317491034e-06,2.464568666475219e-06,2.5397917369283755e-06,3.045987062145366e-06,-5.009938165099134e-08,-2.4510715059355525e-06,3.88547092902472e-06
P18,-1.4123951079812372e-06,-1.9925127892006186e-06,7.917232719210465e-07,-1.993293662633835e-06,-2.9444908797840908e-06,-1.6478881288644709e-06,2.7937074183852217e-06,2.4588536599430636e-07,-2.3619563318163497e-06,3.7030334042610077e-06
P19,-2.5421398538513835e-06,2.3805372171944365e-06,-1.2837935876698972e-06,-2.358050680206173e-06,-2.3159779748218603e-06,3.388782803374424e-06,-3.3658081944002577e-06,-6.268803477392375e-06,7.599882670745366e-07,1.206714872760951e-06
