,0,1,2,3,4,5,6,7,8,9
P1,-7.998251108448217e-06,8.49454711378836e-06,-1.4756332019625734e-05,1.7656542311346622e-05,-4.179999611832858e-06,1.877145785010939e-05,-1.5549270910744477e-06,-1.7626533936160012e-06,-6.331641421052385e-06,1.0809842317001682e-05
P2,2.707173064984362e-05,-1.937774214537223e-05,-1.4553285278797053e-05,-2.6250159254485177e-05,9.626642565462853e-06,-3.868757187367963e-05,1.3706569270799818e-05,-1.5803936937605406e-05,-3.86650677882067e-06,-2.951131209443311e-05
P3,-2.0044753718999418e-05,1.597242916911675e-05,6.361448824366249e-05,1.3406020895055353e-06,-8.338440546764095e-08,1.1560882211529176e-05,-1.0467181609039337e-05,-1.2612993190494427e-05,1.5024454602348154e-05,3.9751020952122584e-05
P4,5.004128800288436e-07,-9.61736014284026e-06,-2.384678671303104e-05,-1.140287016688523e-05,-4.682185666581712e-06,4.237426857001602e-06,1.1255449816542683e-05,1.653406809721866e-05,1.520777966811603e-05,-4.632907854008219e-05
P5,1.4417938505018784e-05,7.146091921143036e-06,2.6175783979687022e-05,3.3657828014122812e-06,-1.2772385678273693e-05,1.3705198114451634e-05,1.716647583826494e-05,3.51433383561137e-06,8.996018955022712e-06,8.764224733756642e-06
P6,2.1025112602793012e-05,-9.987417466408703e-06,2.0215919856080163e-05,5.4052771674260357e-05,-5.9156621703738716e-05,-3.717407343611294e-05,-3.2124150592578466e-05,-4.306189305317731e-05,1.5779779831079973e-05,3.1949058343819605e-05
P7,1.7559780677433613e-05,-5.624337554721614e-06,2.8400116166117184e-05,5.622448551897563e-05,1.8025052580662986e-05,-1.5535130437719334e-05,1.8699547295662408e-05,-3.3815498746799964e-05,-3.4267767867323263e-06,-2.7423538911130942e-05
P8,3.483382202119868e-06,1.2905902350273941e-06,-2.2977089717876446e-06,-1.114447085653377e-06,-4.868327159056676e-06,-1.3957666742976682e-05,1.9599585925495324e-05,-8.834765498064585e-06,3.149921129126177e-05,4.313948364642308e-06
P9,3.198093246568152e-05,-9.446348997579944e-07,2.0871636065239864e-05,3.110237608747926e-07,-3.938909178838584e-05,-4.110569074805234e-05,-2.921872401434448e-05,2.004216341301002e-05,8.088444844588745e-06,8.776822650727106e-07
P10,1.5812082615274461e-06,6.48604756353367e-06,8.711388720384987e-06,1.725438136232996e-05,-3.1961631414943606e-05,2.427403058378433e-05,-8.515907634695872e-06,-3.2841884410363066e-05,-1.118356862042343e-05,5.0941134480747406e-05
P11,-1.8423560478444522e-05,-2.6549408487569785e-05,-3.89268911794345e-06,1.5966252127388716e-05,1.8854248629252175e-05,2.02092782715501e-05,5.594706742443039e-06,3.594459525402391e-05,-3.5618006288104433e-06,-1.1246910528610538e-05
P12,4.038194335970755e-06,7.390646272091204e-06,-2.1976676656406628e-07,-7.501900319804921e-06,-1.0711963265234233e-05,2.603272605557162e-06,-4.41435285051953e-06,1.91022431201848e-05,7.324261437230656e-06,-2.396568972518356e-05
P13,1.8721771266245503e-06,-3.061601909385065e-05,-5.1968953565638995e-05,-8.801614418871388e-06,-2.9288976717422146e-05,-2.6096587597862703e-05,-5.652559796469488e-05,-1.0897118719234748e-05,-3.537683773481722e-05,-1.2105205127809968e-05
P14,-5.853733849268787e-06,-3.9333553933286025e-05,1.8209635641980066e-05,-1.861067607159843e-05,6.801858958768985e-07,-2.932749260372734e-05,-5.31001573729397e-06,-9.780637677876734e-06,2.1013481755448966e-05,-1.823848575965495e-05
P15,-1.0567774443334503e-06,-2.9268511930981267e-05,7.836494314817808e-06,1.9521862137822794e-06,-1.2223159742317472e-06,-1.6046854079075287e-05,1.8307007798914685e-05,2.3200392117751593e-05,3.148258453451085e-05,3.376047074121909e-05
P16,-2.136422461838537e-06,-5.6910990090284575e-06,8.566928182655463e-06,-1.5143852463014898e-06,-5.153606675632402e-06,1.953116241664799e-06,-1.4520691102134142e-05,4.296624553558109e-06,-1.1781756993976822e-05,2.1470781796533784e-05
