,0,1,2,3,4,5,6,7,8,9
P1,-1.3473478436816814e-05,-2.744451498340179e-06,4.662948726209901e-06,-1.1788379245154421e-05,8.818204016553931e-06,8.337887676143716e-06,-1.870847066960668e-05,-5.922181383670238e-06,1.9770893316839618e-05,6.999059513819591e-06
P2,5.660103107649585e-06,2.2434882613820675e-05,1.974859356431574e-06,1.3329850541147787e-05,-2.5941242137819697e-05,-1.5288783711626865e-05,2.057095892516261e-05,2.479730394128101e-06,1.6386836559290416e-05,8.469639204436875e-06
P3,-2.0209593070299884e-05,-4.790883963872003e-06,-1.1098135641182932e-05,-2.7573746095290206e-05,-1.8569777418392646e-05,-2.3176802628205187e-06,-1.605901266408811e-05,-6.344101740016076e-06,7.333668357950655e-07,-1.6217061070299436e-05
P4,1.8881298172676543e-05,-1.5165621316516826e-05,1.6180987057892206e-05,1.4740734039788979e-05,-2.579327157235659e-05,-2.1068393339710096e-05,9.890444885024682e-06,8.810425407311528e-06,1.9481559224481662e-06,-8.312309324031136e-06
P5,-3.503198253724171e-06,8.57967383184079e-06,-1.4178409738988939e-05,-4.1838872763773946e-06,-7.674129527824279e-06,-1.7657331091356938e-05,6.890174142710624e-06,3.041786126722814e-06,1.7620341715161163e-05,9.790498184912566e-07
P6,2.8798597397095352e-05,1.1150796679494212e-05,1.1587814224066177e-05,-2.276543612392723e-05,9.954107309150342e-06,-1.2333849768387715e-05,-2.0820248340286006e-05,-6.18209837819142e-06,-2.5234336888916607e-05,-1.4084563127021938e-05
P7,-7.896568883820768e-06,3.2533049698507416e-06,-9.949305854559543e-07,-1.1544336691980824e-06,1.8070556485710832e-06,1.2776982073394328e-06,-7.470125677070511e-06,-4.649138681044312e-06,2.006658498223442e-05,4.791898180075103e-07
P8,1.3344746660544794e-06,6.127393238502176e-06,-8.553307122858081e-07,1.7665408058428913e-05,1.2020585111706004e-05,-1.2715125761187491e-05,1.1508325656441401e-05,-2.4480339287293474e-06,-2.9374512322715373e-05,1.667457293079086e-05
P9,-4.585612278954626e-06,2.2650797944892597e-05,-9.72752423243281e-06,-1.3054924282665406e-06,-7.644545520351124e-06,-1.858106867559271e-05,-3.1276930234963064e-05,6.159099766911251e-06,-3.948170703689001e-06,1.587275066627404e-06
P10,-1.154830028161219e-05,-2.1336120390875383e-05,2.299031947394477e-06,-3.4612183601930046e-06,9.752514774681348e-06,5.808455488794735e-07,-3.171018848594832e-06,1.5830677169655083e-05,6.58659478107817e-06,2.8256685715417982e-05
P11,-3.100936977469028e-05,1.078666117848852e-05,-2.1957152042594193e-05,-8.474087068416293e-06,3.2006205519239436e-06,-2.5132501191795073e-05,4.332331056821292e-06,-1.1964753825662207e-05,2.3575603967354486e-05,1.73283598159245e-05
P12,6.648711723795508e-06,1.5160455090841704e-05,2.9327658828110555e-05,2.4029260611040354e-05,2.750741653502096e-05,1.8723670983296597e-05,-1.5084059108902079e-05,-1.5019740952095482e-05,6.521861527732713e-06,1.8922867371210005e-05
P13,2.527995008762729e-05,-2.9181794185964907e-06,2.026287020000673e-05,2.1258360082364552e-05,1.2575935239990399e-05,-5.257123824323239e-06,-1.5323098643814717e-05,-1.8320965756135057e-05,-7.020412894895436e-06,-3.0136331934730405e-05
P14,1.6394490157990672e-05,-1.851028587230479e-05,9.050525747012362e-06,-2.1023248655501305e-05,-2.4302158870281865e-06,-8.607337234584436e-06,5.354469336697927e-06,1.2786885444902819e-05,2.183217030562363e-05,2.9037576292423924e-06
P15,-3.1866309341220794e-06,1.0334647115529537e-05,-6.436395667626773e-06,-1.0863884747148409e-05,-7.179150195663368e-06,1.85208310515795e-06,5.824809833454396e-06,3.004766690482396e-06,1.2670068178985006e-05,4.501875558207062e-06
P16,-4.576534500448735e-06,-7.738257611603246e-06,1.4810675281695879e-05,-5.323055353252502e-06,-8.810326522460375e-06,1.954889403177611e-05,2.9579795864319823e-06,-2.4981525409805815e-06,-1.030728910760264e-06,4.2859154907824975e-06
P17,-2.395288593372161e-05,1.3565755511888507e-05,-2.141950147664315e-05,-3.669214655491659e-05,-8.03775282121424e-06,-3.8936527742063965e-05,8.64649272409488e-06,-3.381295569175927e-05,1.7455761376778642e-05,-1.0330695712200324e-05
P18,-3.215105810976072e-06,-2.7531527429500483e-05,8.42374118560944e-06,-7.566844902889326e-06,-3.0101990992290224e-05,1.9396181155607525e-07,1.6090843908820826e-05,9.441500063842988e-06,-3.2866518646651742e-06,-2.742983002347512e-06
P19,-1.0447127637620108e-05,1.6976186724934703e-05,-1.283905327927634e-05,1.5711887308793944e-05,-1.3767265946715204e-05,1.6127700913311335e-05,-1.3392883626431556e-05,1.1716248267684779e-05,1.4163998055957222e-06,-4.829770484742878e-06
P20,-1.3067262451475553e-05,-5.699408207392002e-07,-1.1776208578251042e-05,-1.5203241246323357e-05,-3.943856721308437e-06,2.529060780906661e-05,-5.336170206070691e-06,1.3858243884997323e-05,6.815355554794884e-06,3.921951202070064e-06
P21,-8.061709420158431e-06,-5.742963469488531e-05,1.8692167978045593e-05,2.5725423588482637e-06,3.937290902772091e-05,-1.8221136393935331e-06,-2.8294049104702615e-05,-1.1696179817828221e-05,-4.174134738194406e-05,-1.9654425258469523e-06
