nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,avg_betweenness.4-mer,avg_degree.4-mer,assortativity_degree.4-mer,maxdegree.4-mer,mindegree.4-mer,std_degree.4-mer,average_path_length.4-mer,transitivity_avglocal_undirected.4-mer,transitivity_undirected.4-mer,number_of_edges.4-mer,motifs3.4-mer,motifs4.4-mer,authority_score.4-mer,closeness.4-mer,Burts_constraint.4-mer,count_multiple.4-mer,density.4-mer,diameter.4-mer,eccentricity.4-mer,edge_betweenness.4-mer,hub_score.4-mer,maxdegreetwo.4-mer,neighborhood_size.4-mer,radius.4-mer,avg_weighted_degree.4-mer,number_vertices.4-mer,avg_betweenness.5-mer,avg_degree.5-mer,assortativity_degree.5-mer,maxdegree.5-mer,mindegree.5-mer,std_degree.5-mer,average_path_length.5-mer,transitivity_avglocal_undirected.5-mer,transitivity_undirected.5-mer,number_of_edges.5-mer,motifs3.5-mer,motifs4.5-mer,authority_score.5-mer,closeness.5-mer,Burts_constraint.5-mer,count_multiple.5-mer,density.5-mer,diameter.5-mer,eccentricity.5-mer,edge_betweenness.5-mer,hub_score.5-mer,maxdegreetwo.5-mer,neighborhood_size.5-mer,radius.5-mer,avg_weighted_degree.5-mer,number_vertices.5-mer,label
P1,0.0,15.0,0.08314606741573881,17.0,13.0,1.5811388300841898,1.0,1.0,1.0,30.0,4.0,1.0,0.9431169583171011,1.0,0.9262585875590922,3.5999999999999996,5.0,1.0,1.0,0.20000000000000004,0.9431169583171011,12.0,4.0,1.0,15.0,4.0,13.25,3.625,0.10788032026970015,7.0,2.0,1.653594569415369,2.7666666666666666,0.17708333333333331,0.23076923076923078,29.0,33.0,55.0,0.4253063707367804,0.36538857593298274,0.4957411024305555,1.5517241379310343,0.24166666666666667,5.0,4.5,11.448275862068968,0.4253063707367804,6.0,3.625000000000001,4.0,3.625,16.0,35.08333333333334,2.3333333333333335,0.05655836341756892,5.0,2.0,0.7993052538854533,4.050724637681159,0.0,0.0,28.0,38.0,61.0,0.2257086802989966,0.25181640423006796,0.46826388888888887,1.0714285714285718,0.10144927536231885,9.0,7.208333333333333,39.92857142857144,0.2257086802989966,5.0,3.2500000000000004,6.0,2.3333333333333335,24.0,72.48148148148147,1.9999999999999998,-0.018867924528298198,3.0,1.0,0.2721655269759087,6.5754985754985755,0.0,0.0,27.0,28.0,30.0,0.13187787752006688,0.1530958558712633,0.5123456790123456,1.0,0.07692307692307693,15.0,12.555555555555554,85.48148148148147,0.13187787752006688,3.0,3.0,12.0,1.9999999999999998,27.0,108.33333333333334,1.9259259259259258,-0.03999999999999868,2.0,1.0,0.2618914004394621,9.333333333333334,0.0,0.0,26.0,25.0,24.0,0.6574255907385004,0.11218807768254872,0.5370370370370371,1.0,0.07407407407407407,26.0,19.74074074074074,126.0,0.6574255907385004,2.0,2.925925925925926,13.0,1.9259259259259258,27.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.0,15.0,0.14408602150537733,19.0,12.0,2.7386127875258306,1.0,1.0,1.0,30.0,4.0,1.0,0.9025305420335319,1.0,0.9535067259426223,4.266666666666667,5.0,1.0,1.0,0.19999999999999998,0.9025305420335319,14.0,4.0,1.0,15.0,4.0,11.133333333333333,3.866666666666667,0.3473581213307237,10.0,2.0,2.217105219775452,2.5904761904761906,0.08888888888888888,0.06976744186046512,29.0,41.0,89.0,0.34151786720642374,0.3966063441063441,0.43198223733938024,1.5517241379310345,0.2761904761904762,6.0,4.466666666666667,9.379310344827585,0.34151786720642374,7.0,3.8,3.0,3.866666666666667,15.0,53.041666666666664,2.333333333333333,0.28358208955223896,6.0,1.0,0.9860132971832694,5.61231884057971,0.0,0.0,28.0,30.0,38.0,0.15440319557532234,0.18603084017156696,0.5190972222222224,1.142857142857143,0.10144927536231885,13.0,10.666666666666668,55.32142857142858,0.15440319557532234,4.0,3.083333333333334,7.0,2.333333333333333,24.0,79.81481481481478,1.9999999999999998,-0.03846153846153865,4.0,1.0,0.4714045207910317,7.139601139601139,0.0,0.0,27.0,30.0,37.0,0.22718226486580484,0.14822650160041215,0.5277777777777779,1.0,0.07692307692307693,20.0,14.962962962962964,92.81481481481482,0.22718226486580484,4.0,3.0,10.0,1.9999999999999998,27.0,108.33333333333331,1.9259259259259258,-0.03999999999999868,2.0,1.0,0.2618914004394621,9.333333333333334,0.0,0.0,26.0,25.0,24.0,0.33288586721740204,0.11218807768254872,0.5370370370370371,1.0,0.07407407407407407,26.0,19.74074074074074,126.0,0.33288586721740204,2.0,2.925925925925925,13.0,1.9259259259259258,27.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.24999999999999997,15.0,-0.1593250054788527,20.0,5.0,5.873670062235365,1.1666666666666667,0.8333333333333333,0.75,30.0,4.0,1.0,0.7654878089425413,0.875,1.0300885298689426,4.8,5.0,2.0,1.5,0.23333333333333328,0.7654878089425413,16.0,3.5,1.0,15.0,4.0,6.166666666666667,4.833333333333333,0.12674379040489867,10.0,2.0,2.4776781245530843,2.121212121212121,0.17575757575757575,0.15384615384615385,29.0,35.0,76.0,0.5024904366563351,0.4853018544521018,0.509060329861111,1.8275862068965514,0.4393939393939394,4.0,3.3333333333333335,4.827586206896552,0.5024904366563351,8.0,3.833333333333333,2.0,4.833333333333333,12.0,25.999999999999996,2.8000000000000003,0.309372797744891,6.0,1.0,1.2884098726725126,3.736842105263158,0.046296296296296294,0.08333333333333333,28.0,34.0,57.0,0.29583009923722425,0.2796884749302919,0.5222656249999998,1.2857142857142863,0.14736842105263157,9.0,7.1,25.35714285714286,0.29583009923722425,4.0,3.3,5.0,2.8000000000000003,20.0,41.04166666666666,2.2499999999999996,0.22972972972972977,4.0,1.0,0.82915619758885,4.568840579710145,0.0,0.0,27.0,31.0,42.0,0.17444140854391382,0.22359668919034775,0.5208333333333334,1.1481481481481486,0.09782608695652174,11.0,8.333333333333332,46.7037037037037,0.17444140854391382,4.0,3.083333333333334,7.0,2.2499999999999996,24.0,62.11999999999998,2.08,0.272264631043257,4.0,1.0,0.6273754856543249,6.176666666666667,0.0,0.0,26.0,27.0,31.0,0.17941480381591632,0.16901674871670566,0.5299999999999999,1.076923076923077,0.08666666666666667,16.0,12.4,71.26923076923077,0.17941480381591632,4.0,2.9999999999999996,8.0,2.08,25.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.25,15.0,0.09578302396828284,30.0,8.0,8.774964387392123,1.1666666666666667,0.8333333333333333,0.75,30.0,4.0,1.0,0.5826754265933424,0.875,0.8179209183673462,5.666666666666666,5.0,2.0,1.5,0.23333333333333334,0.5826754265933424,14.0,3.5,1.0,15.0,4.0,8.153846153846153,4.461538461538462,0.4448807303425935,15.0,2.0,3.586628685192236,2.358974358974359,0.22820512820512817,0.27906976744186046,29.0,35.0,66.0,0.2699042686089688,0.43563916386072055,0.4941999139481146,2.034482758620689,0.3717948717948718,5.0,3.9230769230769225,6.344827586206898,0.2699042686089688,8.0,3.9230769230769225,3.0,4.461538461538462,13.0,34.40909090909091,2.5454545454545463,0.15471698113207535,8.0,1.0,1.5293276219327931,4.2770562770562774,0.0,0.0,28.0,36.0,61.0,0.2276214323134285,0.24351749197089545,0.515151515151515,1.2142857142857146,0.12121212121212122,11.0,8.136363636363637,35.285714285714285,0.2276214323134285,6.0,3.181818181818182,6.0,2.5454545454545463,22.0,69.23076923076923,2.076923076923077,0.40731707317073146,4.0,1.0,0.6153846153846153,6.538461538461538,0.0,0.0,27.0,28.0,33.0,0.185050158790219,0.16120172846351447,0.5288461538461539,1.0740740740740744,0.08307692307692309,17.0,13.30769230769231,78.7037037037037,0.185050158790219,4.0,3.0,9.0,2.076923076923077,26.0,67.11538461538461,1.9999999999999996,-0.03999999999999971,4.0,1.0,0.4803844614152614,6.369230769230769,0.0,0.0,26.0,29.0,36.0,0.22290255871286327,0.1656899878773175,0.5288461538461539,1.0,0.08,16.0,12.769230769230766,79.61538461538463,0.22290255871286327,4.0,3.0,8.0,1.9999999999999996,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.25,15.0,0.1896127154689959,19.0,10.0,4.06201920231798,1.1666666666666667,0.8333333333333333,0.75,30.0,4.0,1.0,0.8124999999999999,0.875,0.8900693987873467,3.8666666666666667,5.0,2.0,1.5,0.2333333333333333,0.8124999999999999,13.0,3.5,1.0,15.0,4.0,7.071428571428572,4.142857142857142,0.1996476805637106,9.0,2.0,1.7261494247992246,2.087912087912088,0.047619047619047616,0.058823529411764705,29.0,49.0,120.0,0.3658771787713465,0.48317550227976497,0.3885313411078717,1.4137931034482758,0.3186813186813187,4.0,3.1428571428571432,6.551724137931034,0.3658771787713465,7.0,4.142857142857142,3.0,4.142857142857142,14.0,30.041666666666664,2.3333333333333335,-0.3182674199623358,4.0,2.0,0.6871842709362768,3.61231884057971,0.0,0.0,28.0,43.0,74.0,0.46482980082284026,0.28112004942450297,0.45486111111111105,1.0,0.10144927536231885,8.0,6.083333333333333,35.60714285714286,0.46482980082284026,4.0,3.3333333333333335,4.0,2.3333333333333335,24.0,117.0,1.9285714285714284,-0.03846153846153403,2.0,1.0,0.25753937681885636,9.666666666666666,0.0,0.0,27.0,26.0,25.0,0.6596787162404206,0.10832031472324113,0.5357142857142858,1.0,0.07142857142857142,27.0,20.5,135.33333333333334,0.6596787162404206,2.0,2.9285714285714284,14.0,1.9285714285714284,28.0,108.33333333333333,1.9259259259259258,-0.03999999999999868,2.0,1.0,0.2618914004394621,9.333333333333334,0.0,0.0,26.0,25.0,24.0,0.3328858672174026,0.11218807768254872,0.5370370370370371,1.0,0.07407407407407407,26.0,19.74074074074074,126.0,0.3328858672174026,2.0,2.9259259259259256,13.0,1.9259259259259258,27.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.24999999999999994,15.0,-0.0776826351924713,25.0,10.0,5.873670062235365,1.1666666666666667,0.8333333333333333,0.75,30.0,4.0,1.0,0.6989857458285464,0.875,0.7635414370982547,5.0,5.0,2.0,1.5,0.2333333333333333,0.6989857458285464,15.0,3.5,1.0,15.0,4.0,6.5,4.833333333333333,0.1964594958629977,9.0,2.0,2.6718699236468995,2.1818181818181817,0.2333333333333333,0.27906976744186046,29.0,35.0,65.0,0.5151066850199191,0.467363315696649,0.48756013093171297,1.8275862068965514,0.4393939393939394,4.0,3.583333333333333,4.96551724137931,0.5151066850199191,8.0,4.0,3.0,4.833333333333333,12.0,22.500000000000004,2.8,0.1322751322751322,6.0,2.0,1.1224972160321824,3.3684210526315788,0.07166666666666667,0.06666666666666667,28.0,43.0,88.0,0.3164387688026862,0.30738518653972297,0.48758680555555556,1.2142857142857146,0.14736842105263157,8.0,6.1,22.857142857142854,0.3164387688026862,6.0,3.5000000000000004,4.0,2.8,20.0,47.24000000000001,2.1600000000000006,-0.17391304347826064,4.0,2.0,0.5425863986500215,4.9366666666666665,0.08666666666666668,0.08571428571428572,27.0,33.0,44.0,0.25394092520426836,0.20880995672900424,0.5225,1.0,0.09000000000000001,11.0,8.72,54.851851851851855,0.25394092520426836,4.0,3.1600000000000006,6.0,2.1600000000000006,25.0,108.33333333333334,1.9259259259259258,-0.03999999999999868,2.0,1.0,0.2618914004394621,9.333333333333334,0.0,0.0,26.0,25.0,24.0,0.6574255907385006,0.11218807768254874,0.5370370370370371,1.0,0.07407407407407407,26.0,19.740740740740744,126.0,0.6574255907385006,2.0,2.925925925925925,13.0,1.9259259259259258,27.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.0,15.0,0.14683392043990143,20.0,9.0,3.9370039370059056,1.0,1.0,1.0,30.0,4.0,1.0,0.7840136362309182,1.0,0.8602766007082607,4.2666666666666675,5.0,1.0,1.0,0.2,0.7840136362309182,12.0,4.0,1.0,15.0,4.0,7.142857142857142,4.142857142857143,0.359823399558499,8.0,2.0,1.9219462924391015,2.098901098901099,0.18571428571428572,0.16981132075471697,29.0,47.0,108.0,0.3674862157281096,0.48106458141007824,0.4557989211309524,1.4827586206896555,0.3186813186813187,4.0,3.2142857142857144,6.586206896551725,0.3674862157281096,8.0,4.142857142857142,3.0,4.142857142857143,14.0,37.541666666666664,2.3333333333333335,0.252858958068615,4.0,1.0,0.8975274678557508,4.2644927536231885,0.0,0.0,28.0,36.0,59.0,0.25319766930963233,0.24480873896330252,0.5104166666666665,1.0714285714285716,0.10144927536231885,10.0,7.75,42.03571428571427,0.25319766930963233,4.0,3.1666666666666665,5.0,2.3333333333333335,24.0,63.11111111111111,1.9999999999999998,-0.03846153846153865,4.0,1.0,0.4714045207910317,5.854700854700854,0.0,0.0,27.0,30.0,37.0,0.22378115948460783,0.17520618896726312,0.5277777777777778,1.0,0.07692307692307693,13.0,10.481481481481481,76.1111111111111,0.22378115948460783,4.0,3.0,9.0,1.9999999999999998,27.0,108.33333333333333,1.9259259259259258,-0.03999999999999868,2.0,1.0,0.2618914004394621,9.333333333333334,0.0,0.0,26.0,25.0,24.0,0.6574255907385034,0.11218807768254874,0.5370370370370371,1.0,0.07407407407407407,26.0,19.74074074074074,126.0,0.6574255907385034,2.0,2.9259259259259256,13.0,1.9259259259259258,27.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.0,15.0,-0.16763236763236924,23.0,7.0,5.70087712549569,1.0,1.0,1.0,30.0,4.0,1.0,0.6899129810206689,1.0,0.9702207413577674,5.2666666666666675,5.0,1.0,1.0,0.19999999999999998,0.6899129810206689,15.0,4.0,1.0,15.0,4.0,4.833333333333332,4.833333333333333,-0.2400998336106494,10.0,2.0,2.852873794770615,1.878787878787879,0.2611111111111111,0.23529411764705882,29.0,43.0,100.0,0.43115921983008476,0.5413931701589866,0.5119388050359033,1.6896551724137927,0.4393939393939394,3.0,2.75,4.275862068965517,0.43115921983008476,10.0,4.166666666666666,2.0,4.833333333333333,12.0,22.142857142857146,2.666666666666667,0.2789699570815448,4.0,2.0,0.8908708063747479,3.2142857142857144,0.0,0.0,28.0,44.0,92.0,0.2968807237324176,0.3207109340498959,0.43650793650793657,1.1428571428571432,0.13333333333333333,7.0,5.619047619047619,24.107142857142858,0.2968807237324176,4.0,3.476190476190476,4.0,2.666666666666667,21.0,60.73076923076923,2.0769230769230766,0.40731707317073146,4.0,1.0,0.6153846153846154,5.858461538461539,0.0,0.0,27.0,28.0,33.0,0.1854266129059908,0.1795586125277453,0.5288461538461537,1.0740740740740742,0.08307692307692309,14.0,10.730769230769228,70.51851851851852,0.1854266129059908,4.0,3.0,7.0,2.0769230769230766,26.0,59.11538461538462,1.9999999999999998,-0.03999999999999971,4.0,1.0,0.4803844614152614,5.729230769230769,0.0,0.0,26.0,29.0,36.0,0.2434907332558357,0.183700625059634,0.5288461538461537,1.0,0.08,13.0,10.230769230769232,71.61538461538461,0.2434907332558357,4.0,3.0,7.0,1.9999999999999998,26.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.0,15.0,0.11074834607784272,20.0,9.0,3.9370039370059056,1.0,1.0,1.0,30.0,4.0,1.0,0.7972406687563142,1.0,0.9639207436990003,4.266666666666667,5.0,1.0,1.0,0.19999999999999998,0.7972406687563142,14.0,4.0,1.0,15.0,4.0,11.249999999999998,3.625,0.23292847503373823,8.0,1.0,2.057759704144291,2.5,0.22666666666666668,0.2112676056338028,29.0,61.0,163.0,0.33943922616369493,0.4190561106887601,0.4920940634645061,1.3448275862068968,0.24166666666666667,6.0,4.812499999999999,10.344827586206897,0.33943922616369493,8.0,4.125,3.0,3.625,16.0,46.730769230769226,2.1538461538461533,-0.00072939460248003,6.0,1.0,0.9069097017347382,4.7384615384615385,0.051388888888888894,0.06976744186046512,28.0,41.0,75.0,0.22555769943628143,0.2243750722195663,0.5307158119658122,1.0,0.08615384615384615,12.0,9.23076923076923,54.999999999999986,0.22555769943628143,6.0,3.1538461538461533,6.0,2.1538461538461533,26.0,116.99999999999999,1.9285714285714284,-0.03846153846153403,2.0,1.0,0.25753937681885636,9.666666666666666,0.0,0.0,27.0,26.0,25.0,0.6596787162404208,0.10832031472324109,0.5357142857142858,1.0,0.07142857142857142,27.0,20.500000000000004,135.33333333333334,0.6596787162404208,2.0,2.928571428571428,14.0,1.9285714285714284,28.0,108.33333333333333,1.9259259259259258,-0.03999999999999868,2.0,1.0,0.2618914004394621,9.333333333333334,0.0,0.0,26.0,25.0,24.0,0.332885867217403,0.11218807768254875,0.5370370370370371,1.0,0.07407407407407407,26.0,19.740740740740733,126.0,0.332885867217403,2.0,2.925925925925925,13.0,1.9259259259259258,27.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.0,15.0,-0.07166959103792608,28.0,9.0,7.648529270389178,1.0,1.0,1.0,30.0,4.0,1.0,0.634295724390708,1.0,1.0051509799790117,4.799999999999999,5.0,1.0,1.0,0.19999999999999998,0.634295724390708,16.0,4.0,1.0,15.0,4.0,6.384615384615385,4.461538461538462,0.2627820622679236,12.0,2.0,2.977231150825174,2.0641025641025643,0.3076923076923077,0.2903225806451613,29.0,50.0,118.0,0.3456162054445194,0.49975355669775673,0.48331714075854704,1.482758620689655,0.3717948717948718,4.0,3.1538461538461537,5.551724137931033,0.3456162054445194,8.0,4.230769230769231,2.0,4.461538461538462,13.0,55.32,2.24,0.2899246058944482,6.0,1.0,0.9911609354691095,5.61,0.0,0.0,28.0,33.0,48.0,0.08555273858243177,0.18956956363575,0.5199999999999999,1.0714285714285716,0.09333333333333334,16.0,11.6,60.107142857142854,0.08555273858243177,4.0,3.08,8.0,2.24,25.0,108.33333333333333,2.0,0.19230769230769185,4.0,1.0,0.4714045207910317,9.333333333333334,0.0,0.0,27.0,25.0,24.0,0.13382276205954316,0.11218807768254871,0.537037037037037,1.0,0.07692307692307693,26.0,19.740740740740744,121.33333333333333,0.13382276205954316,2.0,2.925925925925926,13.0,2.0,27.0,108.33333333333333,1.9259259259259258,-0.03999999999999868,2.0,1.0,0.2618914004394621,9.333333333333334,0.0,0.0,26.0,25.0,24.0,0.6574255907385002,0.11218807768254874,0.5370370370370371,1.0,0.07407407407407407,26.0,19.74074074074074,126.0,0.6574255907385002,2.0,2.9259259259259256,13.0,1.9259259259259258,27.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
