nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,avg_betweenness.4-mer,avg_degree.4-mer,assortativity_degree.4-mer,maxdegree.4-mer,mindegree.4-mer,std_degree.4-mer,average_path_length.4-mer,transitivity_avglocal_undirected.4-mer,transitivity_undirected.4-mer,number_of_edges.4-mer,motifs3.4-mer,motifs4.4-mer,authority_score.4-mer,closeness.4-mer,Burts_constraint.4-mer,count_multiple.4-mer,density.4-mer,diameter.4-mer,eccentricity.4-mer,edge_betweenness.4-mer,hub_score.4-mer,maxdegreetwo.4-mer,neighborhood_size.4-mer,radius.4-mer,avg_weighted_degree.4-mer,number_vertices.4-mer,avg_betweenness.5-mer,avg_degree.5-mer,assortativity_degree.5-mer,maxdegree.5-mer,mindegree.5-mer,std_degree.5-mer,average_path_length.5-mer,transitivity_avglocal_undirected.5-mer,transitivity_undirected.5-mer,number_of_edges.5-mer,motifs3.5-mer,motifs4.5-mer,authority_score.5-mer,closeness.5-mer,Burts_constraint.5-mer,count_multiple.5-mer,density.5-mer,diameter.5-mer,eccentricity.5-mer,edge_betweenness.5-mer,hub_score.5-mer,maxdegreetwo.5-mer,neighborhood_size.5-mer,radius.5-mer,avg_weighted_degree.5-mer,number_vertices.5-mer,label
P1,0.25,10.0,-0.31105065422982026,17.0,2.0,5.873670062235365,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6641690368402319,0.875,1.042158049945185,3.6999999999999997,3.3333333333333335,2.0,1.5,0.35,0.6641690368402319,11.0,3.5,1.0,10.0,4.0,4.199999999999999,3.8,-0.006459948320414102,6.0,2.0,1.5999999999999999,1.9333333333333333,0.0,0.0,19.0,24.0,47.0,0.6601693058281828,0.524453781512605,0.4265,1.4210526315789478,0.4222222222222222,3.0,2.8,4.578947368421053,0.6601693058281828,5.0,3.6,2.0,3.8,10.0,24.5,2.2500000000000004,0.39597315436241637,4.0,2.0,0.5590169943749475,4.266666666666667,0.0,0.0,18.0,16.0,16.0,0.28813594128470044,0.234375,0.5069444444444445,1.1111111111111114,0.15,8.0,8.0,28.444444444444443,0.28813594128470044,3.0,3.0,8.0,2.2500000000000004,16.0,28.0,2.0,0.0,2.0,2.0,0.0,4.5,0.0,0.0,17.0,17.0,17.0,1.0,0.2222222222222222,0.5,1.0,0.125,8.0,8.0,36.0,1.0,2.0,3.0,8.0,2.0,17.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816036,0.17448701419372714,0.5588235294117648,1.0,0.11764705882352941,16.0,12.23529411764706,51.0,0.6775024097816036,2.0,2.8823529411764706,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.25,10.0,-0.052631578947368314,14.0,8.0,2.449489742783178,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.689941649359934,0.875,0.774386935763889,3.4,3.3333333333333335,2.0,1.5,0.35000000000000003,0.689941649359934,8.0,3.5,1.0,10.0,4.0,5.454545454545454,3.4545454545454546,0.0527065527065521,6.0,2.0,1.4373989364401725,2.090909090909091,0.07575757575757575,0.12,19.0,23.0,40.0,0.3787861351139123,0.48166732257641354,0.4913916947250281,1.3157894736842108,0.34545454545454546,3.0,3.0,6.052631578947368,0.3787861351139123,6.0,3.545454545454545,3.0,3.4545454545454546,11.0,29.777777777777782,2.0,-0.02857142857142869,3.0,1.0,0.3333333333333333,4.503267973856209,0.0,0.0,18.0,19.0,21.0,0.3990342598744166,0.22367165505501033,0.5185185185185187,1.0,0.11764705882352941,10.0,8.38888888888889,38.27777777777778,0.3990342598744166,3.0,3.0,8.0,2.0,18.0,45.333333333333336,1.8888888888888886,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.672753643635612,0.16530820971063845,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.672753643635612,2.0,2.888888888888888,9.0,1.8888888888888886,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816035,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097816035,2.0,2.8823529411764697,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.24999999999999997,10.0,0.3111111111111108,14.0,6.0,3.1622776601683795,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6875307039354805,0.875,1.0135802469135804,3.1,3.3333333333333335,2.0,1.5,0.35,0.6875307039354805,10.0,3.5,1.0,10.0,4.0,8.90909090909091,3.454545454545455,0.20532319391634943,6.0,1.0,1.5587661999529316,2.7818181818181817,0.25925925925925924,0.2608695652173913,19.0,19.0,28.0,0.44487074728861875,0.37611043275368866,0.6339962121212122,1.5263157894736843,0.34545454545454546,6.0,5.0,8.052631578947368,0.44487074728861875,6.0,3.3636363636363638,3.0,3.454545454545455,11.0,26.562500000000004,2.25,-0.2583586626139819,4.0,1.0,0.9013878188659973,4.541666666666667,0.0,0.0,18.0,20.0,24.0,0.32311172805841787,0.23091500498229073,0.5703125,1.1111111111111112,0.15,11.0,8.812499999999998,30.27777777777778,0.32311172805841787,4.0,2.9999999999999996,6.0,2.25,16.0,45.333333333333336,1.8888888888888884,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.6727536436356121,0.1653082097106384,0.5555555555555558,1.0,0.1111111111111111,17.0,13.000000000000002,57.0,0.6727536436356121,2.0,2.888888888888889,9.0,1.8888888888888884,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.677502409781602,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.677502409781602,2.0,2.8823529411764697,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.24999999999999994,10.0,0.3352965923432897,17.0,2.0,5.612486080160912,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6136374429282835,0.875,0.9714269967246157,3.5,3.3333333333333335,2.0,1.5,0.35,0.6136374429282835,9.0,3.5,1.0,10.0,4.0,5.9,3.8,0.3878281622911698,10.0,2.0,2.4413111231467406,2.311111111111111,0.16666666666666666,0.16666666666666666,19.0,16.0,24.0,0.3358950958656942,0.4417738832375055,0.5035590277777777,1.7368421052631573,0.4222222222222222,5.0,3.9,5.473684210526315,0.3358950958656942,6.0,3.4000000000000004,3.0,3.8,10.0,9.384615384615383,2.769230769230769,0.1063829787234045,5.0,2.0,1.0490908997681427,2.5641025641025643,0.09743589743589744,0.10344827586206896,18.0,27.0,50.0,0.5051359315022748,0.40292299192978304,0.48533119658119656,1.1111111111111114,0.23076923076923075,6.0,4.615384615384616,11.111111111111112,0.5051359315022748,5.0,3.461538461538462,3.0,2.769230769230769,13.0,27.941176470588236,2.0,-0.030303030303030776,3.0,1.0,0.3429971702850177,4.492647058823529,0.0,0.0,17.0,18.0,20.0,0.4340067230412861,0.2314146279388938,0.5196078431372548,1.0,0.125,11.0,8.64705882352941,35.94117647058824,0.4340067230412861,3.0,3.0,6.0,2.0,17.0,40.00000000000001,1.8823529411764706,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816044,0.17448701419372717,0.5588235294117647,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097816044,2.0,2.8823529411764706,8.0,1.8823529411764706,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.0,10.0,0.06719852715557069,13.0,6.0,3.082207001484488,1.0,1.0,1.0,20.0,4.0,1.0,0.7496776128533029,1.0,0.9503944320377884,4.3999999999999995,3.3333333333333335,1.0,1.0,0.30000000000000004,0.7496776128533029,13.0,4.0,1.0,10.0,4.0,8.461538461538462,2.9230769230769234,-0.001818181818181655,8.0,2.0,1.8589301497837802,2.41025641025641,0.18974358974358976,0.16216216216216217,19.0,33.0,65.0,0.33413378534916066,0.4264807574546936,0.527126736111111,1.3157894736842108,0.24358974358974358,5.0,3.9999999999999996,9.894736842105264,0.33413378534916066,8.0,3.6153846153846154,3.0,2.9230769230769234,13.0,29.77777777777778,2.0,-0.02857142857142869,3.0,1.0,0.3333333333333333,4.503267973856209,0.0,0.0,18.0,19.0,21.0,0.1995171299372081,0.22367165505501035,0.5185185185185185,1.0,0.11764705882352941,10.0,8.388888888888888,38.27777777777778,0.1995171299372081,3.0,3.0,8.0,2.0,18.0,45.333333333333336,1.8888888888888886,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.6727536436356119,0.16530820971063842,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.6727536436356119,2.0,2.888888888888889,9.0,1.8888888888888886,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.3387512048908021,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.3387512048908021,2.0,2.8823529411764706,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.25,10.0,0.03133191861190853,17.0,4.0,4.636809247747852,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6461236388091264,0.875,1.083880329671575,3.6000000000000005,3.3333333333333335,2.0,1.5,0.35000000000000003,0.6461236388091264,11.0,3.5,1.0,10.0,4.0,5.999999999999999,3.4545454545454546,0.48575498575498566,6.0,2.0,1.4373989364401722,2.2,0.0,0.0,19.0,22.0,40.0,0.3152573452366736,0.46269251131951367,0.5163636363636364,1.7368421052631582,0.34545454545454546,4.0,3.545454545454545,6.368421052631579,0.3152573452366736,6.0,3.3636363636363638,3.0,3.4545454545454546,11.0,30.750000000000004,2.25,0.2751677852348991,4.0,2.0,0.5590169943749475,5.1,0.0,0.0,18.0,17.0,19.0,0.2600260523097385,0.20417131308500547,0.5269097222222223,1.1111111111111114,0.15,13.0,10.1875,34.0,0.2600260523097385,4.0,3.0,7.0,2.25,16.0,45.33333333333333,1.8888888888888886,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.672753643635612,0.16530820971063845,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.672753643635612,2.0,2.8888888888888893,9.0,1.8888888888888886,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097815996,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097815996,2.0,2.8823529411764706,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.25,10.0,-0.29689872045109666,15.0,6.0,3.391164991562634,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.7456724198089735,0.875,0.8398266120804001,3.2,3.3333333333333335,2.0,1.5,0.35,0.7456724198089735,11.0,3.5,1.0,10.0,4.0,7.416666666666668,3.166666666666667,0.09523809523809497,6.0,2.0,1.3437096247164249,2.3484848484848486,0.0,0.0,19.0,25.0,47.0,0.43689493610366925,0.434735473698336,0.43509259259259264,1.3157894736842106,0.28787878787878785,5.0,3.75,8.157894736842103,0.43689493610366925,6.0,3.4999999999999996,3.0,3.166666666666667,12.0,19.437499999999996,2.250000000000001,-0.0370370370370369,4.0,1.0,0.75,3.591666666666667,0.0,0.0,18.0,22.0,31.0,0.31379898381505766,0.28519545220155634,0.5112847222222221,1.1111111111111114,0.15,8.0,6.3125,23.944444444444443,0.31379898381505766,4.0,3.125,5.0,2.250000000000001,16.0,26.823529411764707,1.9999999999999998,-0.5454545454545462,3.0,1.0,0.3429971702850177,4.352941176470588,0.0,0.0,17.0,18.0,19.0,0.46450946578913865,0.23026119009812823,0.5196078431372549,1.0,0.125,9.0,8.117647058823529,34.82352941176471,0.46450946578913865,3.0,3.0,8.0,1.9999999999999998,17.0,40.0,1.8823529411764706,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.677502409781604,0.17448701419372717,0.5588235294117647,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.677502409781604,2.0,2.88235294117647,8.0,1.8823529411764706,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.25,10.0,-0.19284856193908517,19.0,6.0,5.338539126015656,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6533665300656306,0.875,0.8855062686231518,3.2999999999999994,3.3333333333333335,2.0,1.5,0.3499999999999999,0.6533665300656306,11.0,3.5,1.0,10.0,4.0,4.909090909090908,3.4545454545454546,0.2776859504132236,7.0,2.0,1.6713433009863852,1.981818181818182,0.0909090909090909,0.16666666666666666,19.0,32.0,64.0,0.444736147934864,0.5154047785121955,0.433822601010101,1.210526315789474,0.34545454545454546,4.0,3.272727272727273,5.7368421052631575,0.444736147934864,6.0,3.9090909090909087,2.0,3.4545454545454546,11.0,23.941176470588232,2.1176470588235303,0.19999999999999807,3.0,2.0,0.32218973970892123,3.9926470588235294,0.0,0.0,18.0,21.0,27.0,0.41523879174384243,0.2561524983685796,0.4803921568627451,1.0,0.1323529411764706,9.0,7.176470588235294,30.166666666666668,0.41523879174384243,3.0,3.1176470588235303,6.0,2.1176470588235303,17.0,45.33333333333333,1.8888888888888886,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.6727536436356121,0.16530820971063842,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.6727536436356121,2.0,2.888888888888889,9.0,1.8888888888888886,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816031,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097816031,2.0,2.8823529411764697,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.0,10.0,-0.11071300609100808,14.0,7.0,2.5495097567963922,1.0,1.0,1.0,20.0,4.0,1.0,0.7757587522052305,1.0,0.9830581632653058,3.0,3.3333333333333335,1.0,1.0,0.3,0.7757587522052305,10.0,4.0,1.0,10.0,4.0,15.153846153846153,2.923076923076923,0.12643678160919555,6.0,2.0,1.2064913185660093,3.5256410256410255,0.07575757575757575,0.15,19.0,18.0,25.0,0.30552865285401853,0.29735721483541294,0.5675154320987654,1.4210526315789476,0.24358974358974358,8.0,6.615384615384615,14.473684210526317,0.30552865285401853,6.0,3.1538461538461537,4.0,2.923076923076923,13.0,43.16666666666666,2.0,-0.05882352941176548,4.0,1.0,0.5773502691896257,6.078431372549019,0.0,0.0,18.0,17.0,17.0,0.14079220631097397,0.1717690322323133,0.5763888888888891,1.1111111111111112,0.11764705882352941,16.0,12.333333333333334,51.66666666666666,0.14079220631097397,4.0,2.8888888888888884,8.0,2.0,18.0,45.333333333333336,1.8888888888888886,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.672753643635612,0.1653082097106384,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.672753643635612,2.0,2.888888888888888,9.0,1.8888888888888886,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816039,0.17448701419372714,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097816039,2.0,2.88235294117647,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.25,10.0,0.20609026644916023,13.0,8.0,2.1213203435596424,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.8831683876253903,0.875,0.8292121056241426,3.0999999999999996,3.3333333333333335,2.0,1.5,0.35,0.8831683876253903,9.0,3.5,1.0,10.0,4.0,8.916666666666666,3.166666666666667,0.13636363636363644,7.0,2.0,1.6749792701868151,2.621212121212121,0.1303030303030303,0.125,19.0,22.0,34.0,0.350536283098433,0.39269995570282934,0.5730613425925926,1.4210526315789478,0.28787878787878785,6.0,4.666666666666667,9.105263157894736,0.350536283098433,6.0,3.3333333333333335,3.0,3.166666666666667,12.0,28.0,2.11764705882353,0.5999999999999991,3.0,2.0,0.32218973970892123,4.5,0.0,0.0,18.0,17.0,17.0,0.2352860411589912,0.2222222222222222,0.5065359477124183,1.1111111111111114,0.1323529411764706,8.0,8.0,34.0,0.2352860411589912,3.0,3.0,8.0,2.11764705882353,17.0,28.0,2.0,0.0,2.0,2.0,0.0,4.5,0.0,0.0,17.0,17.0,17.0,1.0,0.2222222222222222,0.5,1.0,0.125,8.0,8.0,36.0,1.0,2.0,3.0,8.0,2.0,17.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816038,0.17448701419372714,0.5588235294117648,1.0,0.11764705882352941,16.0,12.23529411764706,51.0,0.6775024097816038,2.0,2.88235294117647,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
