nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,avg_betweenness.4-mer,avg_degree.4-mer,assortativity_degree.4-mer,maxdegree.4-mer,mindegree.4-mer,std_degree.4-mer,average_path_length.4-mer,transitivity_avglocal_undirected.4-mer,transitivity_undirected.4-mer,number_of_edges.4-mer,motifs3.4-mer,motifs4.4-mer,authority_score.4-mer,closeness.4-mer,Burts_constraint.4-mer,count_multiple.4-mer,density.4-mer,diameter.4-mer,eccentricity.4-mer,edge_betweenness.4-mer,hub_score.4-mer,maxdegreetwo.4-mer,neighborhood_size.4-mer,radius.4-mer,avg_weighted_degree.4-mer,number_vertices.4-mer,avg_betweenness.5-mer,avg_degree.5-mer,assortativity_degree.5-mer,maxdegree.5-mer,mindegree.5-mer,std_degree.5-mer,average_path_length.5-mer,transitivity_avglocal_undirected.5-mer,transitivity_undirected.5-mer,number_of_edges.5-mer,motifs3.5-mer,motifs4.5-mer,authority_score.5-mer,closeness.5-mer,Burts_constraint.5-mer,count_multiple.5-mer,density.5-mer,diameter.5-mer,eccentricity.5-mer,edge_betweenness.5-mer,hub_score.5-mer,maxdegreetwo.5-mer,neighborhood_size.5-mer,radius.5-mer,avg_weighted_degree.5-mer,number_vertices.5-mer,label
P1,0.25,10.0,-0.3682864450127884,16.0,6.0,3.7416573867739413,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.7069586014307574,0.875,1.0166419758007372,3.8,3.3333333333333335,2.0,1.5,0.35000000000000003,0.7069586014307574,14.0,3.5,1.0,10.0,4.0,6.333333333333332,3.166666666666667,-0.20114942528735658,8.0,1.0,2.034425935955617,2.1515151515151514,0.36428571428571427,0.21428571428571427,19.0,36.0,77.0,0.42523477188225567,0.4824689694913857,0.5999529803240741,1.4210526315789476,0.28787878787878785,4.0,3.2500000000000004,7.473684210526315,0.42523477188225567,8.0,3.6666666666666665,2.0,3.166666666666667,12.0,30.0,2.1176470588235294,0.36964980544747095,4.0,1.0,0.7578881603955956,4.75,0.0,0.0,18.0,19.0,24.0,0.2739244426858381,0.2209074295672755,0.5441176470588236,1.1111111111111114,0.1323529411764706,12.0,9.411764705882355,35.88888888888889,0.2739244426858381,4.0,3.0,6.0,2.1176470588235294,17.0,28.588235294117645,1.9999999999999998,-0.06250000000000008,4.0,1.0,0.5940885257860046,4.573529411764706,0.0,0.0,17.0,20.0,27.0,0.30308003078191303,0.22973537273649713,0.5441176470588236,1.0,0.125,11.0,8.882352941176471,36.588235294117645,0.30308003078191303,4.0,2.9999999999999996,6.0,1.9999999999999998,17.0,40.00000000000001,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816038,0.17448701419372714,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097816038,2.0,2.88235294117647,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P2,0.25,10.0,0.32673548295555355,23.0,4.0,7.648529270389178,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.4643147973869184,0.875,0.8316865079365081,4.699999999999999,3.3333333333333335,2.0,1.5,0.35,0.4643147973869184,7.0,3.5,1.0,10.0,4.0,7.3999999999999995,3.8,0.7120075787479276,15.0,1.0,3.8678159211627428,2.6444444444444444,0.2962962962962963,0.34615384615384615,19.0,20.0,25.0,0.17836530876387224,0.3956804577703919,0.5739583333333332,2.5789473684210527,0.4222222222222222,6.0,4.9,6.263157894736842,0.17836530876387224,4.0,3.5999999999999996,3.0,3.8,10.0,26.0,2.571428571428571,0.8688466323085123,11.0,1.0,2.351725376164904,5.0,0.0,0.0,18.0,12.0,11.0,0.08928571426816002,0.20935805366845697,0.5714285714285715,2.1111111111111107,0.19780219780219782,13.0,10.0,25.27777777777778,0.08928571426816002,2.0,2.8571428571428568,7.0,2.571428571428571,14.0,26.0,2.4285714285714284,0.8479971387696708,9.0,1.0,1.8405855323893037,5.0,0.0,0.0,17.0,12.0,11.0,0.09523809479460826,0.209358053668457,0.5714285714285715,1.7058823529411768,0.1868131868131868,13.0,10.0,26.764705882352942,0.09523809479460826,2.0,2.8571428571428568,7.0,2.4285714285714284,14.0,26.0,2.2857142857142856,0.8141197497765862,7.0,1.0,1.3324827218698307,5.0,0.0,0.0,16.0,12.0,11.0,0.10714282727498572,0.209358053668457,0.5714285714285715,1.3750000000000002,0.1758241758241758,13.0,10.0,28.4375,0.10714282727498572,2.0,2.8571428571428568,7.0,2.2857142857142856,14.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P3,0.0,10.0,-0.018957345971565297,14.0,4.0,3.7416573867739413,1.0,1.0,1.0,20.0,4.0,1.0,0.7324310734113384,1.0,0.9962138888888896,3.1999999999999997,3.3333333333333335,1.0,1.0,0.3,0.7324310734113384,10.0,4.0,1.0,10.0,4.0,11.769230769230766,2.923076923076923,-0.005571030640668622,6.0,1.0,1.5423028965971863,2.9615384615384617,0.27,0.21428571428571427,19.0,24.0,38.0,0.3692924125678854,0.3562890255414377,0.6569919278252612,1.3157894736842108,0.24358974358974358,7.0,5.538461538461538,12.157894736842104,0.3692924125678854,6.0,3.307692307692307,4.0,2.923076923076923,13.0,27.833333333333336,1.9999999999999998,-0.05882352941176548,4.0,1.0,0.5773502691896257,4.2745098039215685,0.0,0.0,18.0,21.0,28.0,0.3085965761464148,0.24687127637689613,0.5416666666666666,1.0,0.11764705882352941,10.0,7.555555555555556,36.33333333333333,0.3085965761464148,4.0,3.0,5.0,1.9999999999999998,18.0,45.33333333333333,1.8888888888888888,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.6727536436356119,0.16530820971063842,0.5555555555555556,1.0,0.1111111111111111,17.0,13.0,57.0,0.6727536436356119,2.0,2.8888888888888893,9.0,1.8888888888888888,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097816039,0.17448701419372714,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097816039,2.0,2.8823529411764706,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P4,0.25,10.0,0.06666666666666604,14.0,6.0,3.1622776601683795,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.7979103332735176,0.875,0.8049045138888888,3.1999999999999993,3.3333333333333335,2.0,1.5,0.35000000000000003,0.7979103332735176,8.0,3.5,1.0,10.0,4.0,7.833333333333335,3.1666666666666665,0.03938859494415018,8.0,1.0,1.7716909687891083,2.4242424242424243,0.3333333333333333,0.2222222222222222,19.0,23.0,39.0,0.3270917323511186,0.42101438495036553,0.6005859375,1.3157894736842106,0.28787878787878785,5.0,3.9999999999999996,8.421052631578949,0.3270917323511186,6.0,3.5,3.0,3.1666666666666665,12.0,22.352941176470587,2.11764705882353,-0.05058365758754857,4.0,1.0,0.7578881603955956,3.7941176470588234,0.0,0.0,18.0,25.0,42.0,0.2011925695404219,0.27710842400908636,0.5294117647058825,1.0,0.1323529411764706,9.0,7.352941176470588,28.66666666666667,0.2011925695404219,4.0,3.11764705882353,5.0,2.11764705882353,17.0,45.333333333333336,1.8888888888888886,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.6727536436356123,0.16530820971063845,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.6727536436356123,2.0,2.8888888888888884,9.0,1.8888888888888886,18.0,39.99999999999999,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.6775024097815986,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.6775024097815986,2.0,2.88235294117647,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P5,0.5,10.0,0.22879177377892027,23.0,1.0,8.154753215150045,1.3333333333333333,0.7777777777777777,0.6,20.0,3.0,1.0,0.48192369744533564,0.775,1.0094954648526073,4.7,3.3333333333333335,2.0,1.75,0.39999999999999997,0.48192369744533564,7.0,3.0,1.0,10.0,4.0,6.6,3.8,0.6760085260914188,15.0,1.0,3.8678159211627428,2.466666666666667,0.0,0.0,19.0,16.0,23.0,0.16178025337252772,0.4189060939060939,0.5180555555555555,2.6842105263157894,0.4222222222222222,5.0,4.1,5.842105263157896,0.16178025337252772,4.0,3.1999999999999997,3.0,3.8,10.0,18.153846153846157,2.769230769230769,0.6845049412642177,11.0,1.0,2.45431632823751,4.0256410256410255,0.0,0.0,18.0,14.0,16.0,0.1469989001847849,0.2589034761563659,0.5331196581196581,1.7777777777777775,0.23076923076923075,10.0,7.846153846153847,17.444444444444443,0.1469989001847849,4.0,2.9999999999999996,5.0,2.769230769230769,13.0,20.5,2.4285714285714284,0.6288832913518052,7.0,1.0,1.3997084244475304,4.153846153846154,0.0,0.0,17.0,15.0,17.0,0.18992578418152584,0.250996608711621,0.5307539682539683,1.235294117647059,0.1868131868131868,10.0,8.0,22.23529411764706,0.18992578418152584,4.0,2.9999999999999996,5.0,2.4285714285714284,14.0,23.399999999999995,2.1333333333333333,0.5259259259259259,4.0,1.0,0.618241233033047,4.3428571428571425,0.0,0.0,16.0,16.0,18.0,0.32479587457568176,0.24025813077125752,0.5222222222222223,1.0,0.15238095238095237,11.0,8.6,28.499999999999996,0.32479587457568176,3.0,2.9999999999999996,6.0,2.1333333333333333,15.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P6,0.25,10.0,-0.20000000000000018,16.0,4.0,4.47213595499958,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6929785792919309,0.875,0.9896648341049387,3.9,3.3333333333333335,2.0,1.5,0.35000000000000003,0.6929785792919309,12.0,3.5,1.0,10.0,4.0,5.454545454545455,3.4545454545454546,-0.06611111111111141,8.0,2.0,1.876342494595481,2.090909090909091,0.2515151515151515,0.1935483870967742,19.0,27.0,50.0,0.4049515746738651,0.48789903552749403,0.5420700056116723,1.5263157894736843,0.34545454545454546,4.0,3.2727272727272734,6.052631578947368,0.4049515746738651,8.0,3.727272727272727,2.0,3.4545454545454546,11.0,12.066666666666666,2.4000000000000004,-0.0013245033112581888,6.0,1.0,1.1430952132988166,2.723809523809524,0.0,0.0,18.0,27.0,52.0,0.3289895970620184,0.3759625823814184,0.49537037037037046,1.1111111111111114,0.17142857142857143,5.0,4.266666666666667,15.88888888888889,0.3289895970620184,6.0,3.266666666666667,3.0,2.4000000000000004,15.0,23.176470588235293,2.0,-0.06250000000000008,4.0,1.0,0.5940885257860046,3.8970588235294117,0.0,0.0,17.0,20.0,27.0,0.1524121690973074,0.2633297434593965,0.5441176470588235,1.0,0.125,9.0,7.0588235294117645,31.176470588235293,0.1524121690973074,4.0,2.9999999999999996,6.0,2.0,17.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.33875120489080196,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.33875120489080196,2.0,2.8823529411764706,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P7,0.25,10.0,-0.11090047393364973,16.0,2.0,5.244044240850758,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6595649603353875,0.875,0.9075746265249458,7.099999999999999,3.3333333333333335,2.0,1.5,0.35000000000000003,0.6595649603353875,16.0,3.5,1.0,10.0,4.0,3.2499999999999996,4.75,0.3263221153846153,10.0,2.0,3.112474899497183,1.9285714285714286,0.0,0.0,19.0,17.0,25.0,0.37452218116476577,0.5302083333333333,0.5412037037037037,3.842105263157895,0.6785714285714286,4.0,3.125,2.8421052631578947,0.37452218116476577,10.0,3.5,2.0,4.75,8.0,9.666666666666666,3.0000000000000004,0.15727871250914421,7.0,1.0,1.7795130420052185,2.757575757575758,0.0,0.0,18.0,18.0,26.0,0.27872953933400774,0.3716754552135744,0.5531462585034013,1.9999999999999998,0.2727272727272727,6.0,4.750000000000001,10.11111111111111,0.27872953933400774,7.0,3.166666666666667,4.0,3.0000000000000004,12.0,27.666666666666664,2.266666666666666,0.16118421052631593,4.0,1.0,0.9285592184789414,4.9523809523809526,0.0,0.0,17.0,14.0,14.0,0.18911091344369152,0.2118307637768128,0.6083333333333334,1.4705882352941178,0.1619047619047619,13.0,9.933333333333332,30.58823529411765,0.18911091344369152,4.0,2.8666666666666667,7.0,2.266666666666666,15.0,34.18750000000001,2.0,-0.3037037037037037,4.0,1.0,0.6123724356957945,5.558333333333334,0.0,0.0,16.0,15.0,14.0,0.1666539519788603,0.18786371059495757,0.5859375,1.1250000000000002,0.13333333333333333,14.0,10.9375,41.68749999999999,0.1666539519788603,4.0,2.875,7.0,2.0,16.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P8,0.5,10.0,-0.13432835820895522,14.0,1.0,5.244044240850758,1.3333333333333333,0.7777777777777777,0.6,20.0,3.0,1.0,0.7381005922616775,0.775,1.0037623275945209,3.4,3.3333333333333335,2.0,1.75,0.4,0.7381005922616775,9.0,3.0,1.0,10.0,4.0,6.1000000000000005,3.8,0.12378640776699079,6.0,1.0,1.3266499161421599,2.3555555555555556,0.6296296296296297,0.5,19.0,20.0,27.0,0.7019649601125912,0.4409682798020394,0.7038125,1.4210526315789476,0.4222222222222222,5.0,4.1,5.578947368421053,0.7019649601125912,5.0,3.8,3.0,3.8,10.0,26.533333333333335,2.4000000000000004,0.07317073170731757,4.0,1.0,1.019803902718557,4.79047619047619,0.2564102564102564,0.2857142857142857,18.0,17.0,17.0,0.2646651638172043,0.21665443431601797,0.675,1.2222222222222225,0.17142857142857143,12.0,9.400000000000002,27.944444444444446,0.2646651638172043,4.0,3.1333333333333333,6.0,2.4000000000000004,15.0,29.0,2.1250000000000004,-0.3458333333333339,4.0,1.0,0.7806247497997998,4.866666666666666,0.3095238095238095,0.25,17.0,20.0,23.0,0.2854902369980432,0.2122851050759356,0.6640625,1.0,0.14166666666666666,11.0,9.0,34.35294117647059,0.2854902369980432,4.0,3.1250000000000004,6.0,2.1250000000000004,16.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.33875120489080196,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.33875120489080196,2.0,2.88235294117647,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P9,0.5,10.0,0.22155688622754485,22.0,2.0,7.483314773547883,1.3333333333333333,0.7777777777777777,0.6,20.0,3.0,1.0,0.5022798188357297,0.775,0.888888888888889,4.8,3.3333333333333335,2.0,1.75,0.39999999999999997,0.5022798188357297,6.0,3.0,1.0,10.0,4.0,6.199999999999999,3.8000000000000003,0.758901515151515,16.0,2.0,4.1182520563948,2.3777777777777778,0.0,0.0,19.0,14.0,20.0,0.1335563549850296,0.42796140432457563,0.47638888888888886,3.3157894736842106,0.4222222222222222,5.0,3.8,5.631578947368422,0.1335563549850296,4.0,3.2,3.0,3.8000000000000003,10.0,15.583333333333334,3.0000000000000004,0.7601095390232769,14.0,1.0,3.3416562759605704,3.8333333333333335,0.0,0.0,18.0,13.0,15.0,0.11569039315862607,0.2714924186086751,0.5277777777777778,2.666666666666667,0.2727272727272727,9.0,7.25,14.055555555555555,0.11569039315862607,3.0,3.0000000000000004,5.0,3.0000000000000004,12.0,22.0,2.6153846153846154,0.7451009501187646,12.0,1.0,2.7326645643587093,4.666666666666667,0.0,0.0,17.0,11.0,10.0,0.11358779217115803,0.22429811943779776,0.576923076923077,2.1764705882352935,0.21794871794871795,12.0,9.23076923076923,21.41176470588235,0.11358779217115803,2.0,2.8461538461538454,6.0,2.6153846153846154,13.0,22.0,2.4615384615384617,0.7123098201936376,10.0,1.0,2.205426336435608,4.666666666666667,0.0,0.0,16.0,11.0,10.0,0.12437271679102467,0.22429811943779776,0.576923076923077,1.75,0.20512820512820515,12.0,9.23076923076923,22.75,0.12437271679102467,2.0,2.8461538461538454,6.0,2.4615384615384617,13.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
P10,0.25,10.0,0.026398210290827638,18.0,6.0,4.743416490252569,1.1666666666666667,0.8333333333333333,0.75,20.0,4.0,1.0,0.6337494565229467,0.875,0.8850317602040819,3.1000000000000005,3.3333333333333335,2.0,1.5,0.35,0.6337494565229467,10.0,3.5,1.0,10.0,4.0,7.749999999999999,3.1666666666666665,0.09109414758269763,8.0,1.0,1.9507833184532712,2.409090909090909,0.26,0.1935483870967742,19.0,27.0,49.0,0.3751756914414261,0.430508669879287,0.5985725308641975,1.3157894736842106,0.28787878787878785,5.0,3.9999999999999996,8.368421052631577,0.3751756914414261,6.0,3.5,3.0,3.1666666666666665,12.0,25.88888888888889,1.9999999999999998,-0.05882352941176548,4.0,1.0,0.5773502691896257,4.045751633986928,0.0,0.0,18.0,21.0,28.0,0.3270002466372769,0.2567317120851481,0.5416666666666666,1.0,0.11764705882352941,9.0,7.0,34.38888888888889,0.3270002466372769,4.0,3.0,5.0,1.9999999999999998,18.0,45.333333333333336,1.8888888888888886,-0.062500000000001,2.0,1.0,0.3142696805273545,6.333333333333333,0.0,0.0,17.0,16.0,15.0,0.672753643635612,0.16530820971063842,0.5555555555555557,1.0,0.1111111111111111,17.0,13.0,57.0,0.672753643635612,2.0,2.8888888888888884,9.0,1.8888888888888886,18.0,40.0,1.8823529411764703,-0.06666666666666667,2.0,1.0,0.32218973970892123,6.0,0.0,0.0,16.0,15.0,14.0,0.677502409781602,0.17448701419372717,0.5588235294117648,1.0,0.11764705882352941,16.0,12.235294117647058,51.0,0.677502409781602,2.0,2.8823529411764697,8.0,1.8823529411764703,17.0,Psi_Site_Chen_MathFeature_Latest_5_0_10_5_1
